series_id        	year	period	       value	footnote_codes
CUURA311SA0      	1996	M11	       100.0	
CUURA311SA0      	1997	M01	       100.4	
CUURA311SA0      	1997	M03	       100.8	
CUURA311SA0      	1997	M05	       100.5	
CUURA311SA0      	1997	M07	       101.1	
CUURA311SA0      	1997	M09	       101.4	
CUURA311SA0      	1997	M11	       100.5	
CUURA311SA0      	1997	M13	       100.8	
CUURA311SA0      	1998	M01	       101.0	
CUURA311SA0      	1998	M03	       101.6	
CUURA311SA0      	1998	M05	       101.5	
CUURA311SA0      	1998	M07	       102.8	
CUURA311SA0      	1998	M09	       102.9	
CUURA311SA0      	1998	M11	       102.4	
CUURA311SA0      	1998	M13	       102.1	
CUURA311SA0      	1999	M01	       102.8	
CUURA311SA0      	1999	M03	       103.2	
CUURA311SA0      	1999	M05	       103.6	
CUURA311SA0      	1999	M07	       104.6	
CUURA311SA0      	1999	M09	       105.4	
CUURA311SA0      	1999	M11	       105.0	
CUURA311SA0      	1999	M13	       104.2	
CUURA311SA0      	2000	M01	       105.4	
CUURA311SA0      	2000	M03	       107.1	
CUURA311SA0      	2000	M05	       106.7	
CUURA311SA0      	2000	M07	       108.4	
CUURA311SA0      	2000	M09	       108.7	
CUURA311SA0      	2000	M11	       108.5	
CUURA311SA0      	2000	M13	       107.6	
CUURA311SA0      	2001	M01	       108.9	
CUURA311SA0      	2001	M03	       109.7	
CUURA311SA0      	2001	M05	       110.1	
CUURA311SA0      	2001	M07	       110.8	
CUURA311SA0      	2001	M09	       111.7	
CUURA311SA0      	2001	M11	       110.9	
CUURA311SA0      	2001	M13	       110.4	
CUURA311SA0      	2002	M01	       110.9	
CUURA311SA0      	2002	M03	       111.9	
CUURA311SA0      	2002	M05	       112.8	
CUURA311SA0      	2002	M07	       113.4	
CUURA311SA0      	2002	M09	       114.0	
CUURA311SA0      	2002	M11	       114.0	
CUURA311SA0      	2002	M13	       113.0	
CUURA311SA0      	2003	M01	       114.6	
CUURA311SA0      	2003	M03	       115.9	
CUURA311SA0      	2003	M05	       115.7	
CUURA311SA0      	2003	M07	       116.8	
CUURA311SA0      	2003	M09	       117.2	
CUURA311SA0      	2003	M11	       116.7	
CUURA311SA0      	2003	M13	       116.2	
CUURA311SA0      	2004	M01	       117.1	
CUURA311SA0      	2004	M03	       118.1	
CUURA311SA0      	2004	M05	       118.9	
CUURA311SA0      	2004	M07	       120.2	
CUURA311SA0      	2004	M09	       120.8	
CUURA311SA0      	2004	M11	       120.9	
CUURA311SA0      	2004	M13	       119.5	
CUURA311SA0      	2005	M01	       121.3	
CUURA311SA0      	2005	M03	       122.7	
CUURA311SA0      	2005	M05	       123.6	
CUURA311SA0      	2005	M07	       125.0	
CUURA311SA0      	2005	M09	       126.7	
CUURA311SA0      	2005	M11	       125.4	
CUURA311SA0      	2005	M13	       124.3	
CUURA311SA0      	2006	M01	       126.3	
CUURA311SA0      	2006	M03	       126.8	
CUURA311SA0      	2006	M05	       128.8	
CUURA311SA0      	2006	M07	       130.7	
CUURA311SA0      	2006	M09	       130.2	
CUURA311SA0      	2006	M11	       129.3	
CUURA311SA0      	2006	M13	       128.8	
CUURA311SA0      	2007	M01	     129.956	
CUURA311SA0      	2007	M03	     131.945	
CUURA311SA0      	2007	M05	     132.982	
CUURA311SA0      	2007	M07	     134.442	
CUURA311SA0      	2007	M09	     134.678	
CUURA311SA0      	2007	M11	     135.151	
CUURA311SA0      	2007	M13	     133.464	
CUURA311SA0      	2008	M01	     136.293	
CUURA311SA0      	2008	M03	     138.090	
CUURA311SA0      	2008	M05	     139.649	
CUURA311SA0      	2008	M07	     142.065	
CUURA311SA0      	2008	M09	     142.036	
CUURA311SA0      	2008	M11	     138.547	
