INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.5249439,0.5604137,0.5507428,0.4997915,0.5403609,0.5015312,0.5751106,04965261,53,D,39,D,1,4,D,01,D,1,D,15,D,15,D,1,D,,A,2,D,1,D,0,D,55000,D,21511.768,0,D,4208,D,0,D,,A,0,D,,A,0,D,0,D,55000,D,40,D,,A,0,D,435,D,100,D,652,D,150,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,0,D,10,D,1,4,,2,D,4,D,2,2,D,1,,1,10,2021,,A,1,D,1,D,2,,A,,A,2,D,52,D,0,D,51655.343,58367.591,40680.834,,41021.489,,61853.128,34737.345,,,38093.237,,,51863.266,,43287.628,,,36872.381,31551.303,44370.559,,40628.638,42727.228,39095.681,49916.623,36784.149,,,,36182.728,,48773.588,34464.202,54703.867,,,,,,50608.399,,,,77.99000,23.08000,0.00000,23.08000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,54.91000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,17,D,496526,,A,,A,0,D,64440.4,D,60151,65405,60582,67051,69013,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,64440.4,D,60151,65405,60582,67051,69013,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S23A,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,4,2,2
0.4969412,0.5128135,0.4979504,0.5326624,0.5248640,0.4659539,0.5815279,04965262,53,D,39,D,1,4,D,01,D,1,D,15,D,15,D,1,D,,A,2,D,1,D,0,D,55000,D,21511.768,0,D,4208,D,0,D,,A,0,D,,A,0,D,0,D,55000,D,40,D,,A,0,D,435,D,100,D,652,D,150,D,,A,1,,1,D,,A,,A,,A,0,D,0,D,0,D,10,D,1,4,,2,D,4,D,2,2,D,1,,1,10,2021,,A,1,D,2,D,2,,A,,A,2,D,52,D,0,D,51655.343,58367.591,40680.834,,41021.489,,61853.128,34737.345,,,38093.237,,,51863.266,,43287.628,,,36872.381,31551.303,44370.559,,40628.638,42727.228,39095.681,49916.623,36784.149,,,,36182.728,,48773.588,34464.202,54703.867,,,,,,50608.399,,,,31.94000,27.81000,0.00000,27.81000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.13000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,17,D,496526,,A,,A,0,D,60550.2,D,54140,62566,65548,59842,60655,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,60550.2,D,54140,62566,65548,59842,60655,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S23A,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,4,2,2
0.9943014,0.9945340,0.9931442,0.9938368,0.9943014,0.9936089,0.9736294,04965281,59,D,59,D,1,2,D,01,D,2,D,16,D,15,D,1,D,1,D,2,D,1,D,0,D,343810,D,24880.183,48000,D,22058,D,0,D,,A,0,D,,A,0,D,0,D,300000,D,50,D,50,D,0,D,870,D,200,D,1304,D,300,D,,A,1,,2,D,,A,03,D,,A,0,D,0,D,0,D,03,D,1,1,,2,D,1,D,2,1,D,2,,1,10,2021,1,D,3,D,1,D,2,,A,,A,,A,52,D,52,D,43150.396,52252.961,54860.869,,46691.167,,56547.706,54375.320,,,40662.069,,,43061.839,,44808.118,,,46289.644,52087.352,50269.443,,51755.108,48853.555,47444.344,64603.167,41964.948,,,,48183.053,,36562.826,43412.631,48333.448,,,,,,58920.439,,,,399.36000,67.34000,3.35000,0.00000,0.00000,2.41000,0.00000,0.00000,19.16000,0.00000,0.00000,0.00000,15.83000,4.75000,0.00000,0.00000,0.00000,7.62000,0.00000,14.22000,332.02000,95.00000,0.00000,0.00000,0.00000,62.64000,9.04966,78.67000,1,D,,A,0,D,17,D,496528,,A,,A,0,D,528093.1,T,506108,543726,533591,506479,550561,404,17471.1,T,17471,17471,17471,17471,17471,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,461600.1,T,458998,453425,483697,451336,460544,302,T,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S23A,16,0,D,3659,44074,1,6512,46784,201,20206,11,D,43810,D,,C,43451,46227,49893,48631,43233,301,46287,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,3,3,2,2
0.9978064,0.9978064,0.9986180,0.9978064,0.9973417,0.9971039,0.9734442,04965282,59,D,59,D,1,2,D,01,D,2,D,16,D,15,D,1,D,1,D,2,D,1,D,0,D,343810,D,24880.183,48000,D,22058,D,0,D,,A,0,D,,A,0,D,0,D,300000,D,50,D,50,D,0,D,870,D,200,D,1304,D,300,D,,A,1,,2,D,,A,03,D,,A,0,D,0,D,0,D,03,D,1,1,,2,D,1,D,2,1,D,2,,1,10,2021,1,D,3,D,2,D,2,,A,,A,,A,52,D,52,D,43150.396,52252.961,54860.869,,46691.167,,56547.706,54375.320,,,40662.069,,,43061.839,,44808.118,,,46289.644,52087.352,50269.443,,51755.108,48853.555,47444.344,64603.167,41964.948,,,,48183.053,,36562.826,43412.631,48333.448,,,,,,58920.439,,,,551.49000,157.77000,6.08000,13.08000,0.00000,7.25000,0.00000,0.00000,26.24000,0.00000,0.00000,13.19000,48.59000,3.94000,0.00000,0.00000,19.43000,11.19000,0.00000,8.78000,393.72000,276.42000,0.00000,42.92000,122.55254,36.70746,17.39000,0.00000,1,D,,A,0,D,17,D,496528,,A,,A,0,D,642875.1,T,636414,623545,649389,657945,647081,404,17471.1,T,17471,17471,17471,17471,17471,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,576648.3,T,576648,576648,576648,576648,576648,302,T,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S23A,16,0,D,15155,553,32398,33620,23071,201,20959,11,D,43810,D,,C,44611,46344,40343,47677,47362,301,45267,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,3,3,2,2
0.7700546,0.7688605,0.7726753,0.7537200,0.7588044,0.7605803,0.7866926,04965301,55,D,67,D,1,1,D,01,D,6,D,12,D,13,D,,A,5,D,4,D,5,D,0,D,111982,D,79294.197,0,D,21936,T,0,D,,A,0,D,,A,11982,D,0,D,0,D,,A,60,D,0,D,391,D,90,D,435,D,100,D,,A,1,,3,D,,A,13,D,,A,0,D,1,D,1,D,,A,2,1,,2,D,1,D,1,2,D,1,,1,10,2021,1,D,3,D,1,D,2,,A,2,D,,A,0,D,52,D,,145149.231,160737.358,,145639.067,166192.408,,179470.494,,153553.602,161736.054,,,,169411.061,,,,,,154738.700,148250.404,169536.548,,179291.876,,,,143033.286,143278.749,134308.778,142085.072,176046.570,,129547.657,149399.896,178518.402,,,166897.428,,166910.580,,,40.49000,31.93000,0.00000,26.96000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.97000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.56000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.38000,1,D,,A,7,D,09,D,496530,,A,,A,0,D,119707.4,D,115218,118034,118100,125963,121222,202,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,11982.0,D,11982,11982,11982,11982,11982,100,0.0,D,0,0,0,0,0,100,7725.4,D,3236,6052,6118,13981,9240,202,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,100000,D,100000,100000,100000,100000,100000,100,100000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,4,2,2
0.7814195,0.7665864,0.8120521,0.7441024,0.7618551,0.7666709,0.7872828,04965302,55,D,67,D,1,1,D,01,D,6,D,12,D,13,D,,A,5,D,4,D,5,D,0,D,111982,D,79294.197,0,D,21936,T,0,D,,A,0,D,,A,11982,D,0,D,0,D,,A,60,D,0,D,391,D,90,D,435,D,100,D,,A,1,,3,D,,A,13,D,,A,0,D,1,D,1,D,,A,2,1,,2,D,1,D,1,2,D,1,,1,10,2021,1,D,3,D,2,D,2,,A,2,D,,A,0,D,52,D,,145149.231,160737.358,,145639.067,166192.408,,179470.494,,153553.602,161736.054,,,,169411.061,,,,,,154738.700,148250.404,169536.548,,179291.876,,,,143033.286,143278.749,134308.778,142085.072,176046.570,,129547.657,149399.896,178518.402,,,166897.428,,166910.580,,,569.19996,492.99996,23.35051,72.81195,13.65951,19.06251,11.95314,42.14065,0.00000,4.37062,3.52354,61.84285,8.39853,32.37650,3.99000,25.71611,9.87114,45.91029,33.87242,80.14969,76.20000,0.00000,0.00000,0.00000,31.63000,0.00000,0.00000,42.03000,1,D,,A,7,D,09,D,496530,,A,,A,0,D,122387.6,D,118372,119214,114530,139156,120666,202,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,11982.0,D,11982,11982,11982,11982,11982,100,0.0,D,0,0,0,0,0,100,10405.6,D,6390,7232,2548,27174,8684,202,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,100000,D,100000,100000,100000,100000,100000,100,100000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,4,2,2
0.7220627,0.7094251,0.7153397,0.7065937,0.7222661,0.7367588,0.7639952,04965361,50,D,,A,1,4,D,01,D,4,D,12,D,,A,1,D,,A,2,D,9,D,0,D,103000,D,46765.912,5000,D,7880,D,0,D,,A,0,D,,A,0,D,0,D,103000,D,50,D,,A,0,D,370,D,85,D,435,D,100,D,,A,3,,2,D,,A,,A,,A,0,D,0,D,0,D,03,D,1,,A,2,D,1,D,2,2,D,,A,1,10,2021,,A,2,D,1,D,2,,A,,A,,A,52,D,,A,,,,120541.827,,103531.234,,,85668.098,76996.988,,110880.208,122523.639,,115575.563,,67076.842,87003.221,,,,67979.772,,,,,,70341.058,82910.117,81267.770,,109497.470,,,,94717.709,78640.947,90732.510,80839.492,88995.967,,92753.139,82485.733,65274.237,110.06999,47.08999,8.96511,6.85774,0.00000,0.00000,0.00000,0.00000,5.46497,0.00000,7.36951,4.10008,0.00000,1.91059,0.00000,0.00000,0.00000,3.63337,5.37844,3.41018,62.98000,0.00000,63.07000,0.00000,0.00000,0.00000,0.00000,42.33000,1,D,,A,7,D,17,D,496536,,A,,A,0,D,104735.6,D,109150,105834,101977,105115,101602,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,104735.6,D,109150,105834,101977,105115,101602,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S23A,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,4,2,
0.7155767,0.7109102,0.7116158,0.7077267,0.7078431,0.7238800,0.7636471,04965362,50,D,,A,1,4,D,01,D,4,D,12,D,,A,1,D,,A,2,D,9,D,0,D,103000,D,46765.912,5000,D,7880,D,0,D,,A,0,D,,A,0,D,0,D,103000,D,50,D,,A,0,D,370,D,85,D,435,D,100,D,,A,3,,2,D,,A,,A,,A,0,D,0,D,0,D,03,D,1,,A,2,D,1,D,2,2,D,,A,1,10,2021,,A,2,D,2,D,2,,A,,A,,A,52,D,,A,,,,120541.827,,103531.234,,,85668.098,76996.988,,110880.208,122523.639,,115575.563,,67076.842,87003.221,,,,67979.772,,,,,,70341.058,82910.117,81267.770,,109497.470,,,,94717.709,78640.947,90732.510,80839.492,88995.967,,92753.139,82485.733,65274.237,73.97000,30.01000,0.00000,5.00743,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.58883,0.00000,7.17303,2.26794,0.00000,0.00000,0.00000,7.07988,5.89289,0.00000,43.96000,0.00000,34.40000,0.00000,35.63000,0.00000,51.69000,0.00000,1,D,,A,7,D,17,D,496536,,A,,A,0,D,102772.8,D,104444,100834,102348,104064,102174,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,102772.8,D,104444,100834,102348,104064,102174,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S23A,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,4,2,
0.5327033,0.5405793,0.5383452,0.5318073,0.5399789,0.5389273,0.6289451,04965381,60,D,,A,1,4,D,01,D,1,D,12,D,,A,1,D,,A,1,D,8,D,0,D,65050,D,29808.413,0,D,4973,D,0,D,,A,0,D,,A,0,D,0,D,65000,D,40,D,,A,0,D,544,D,125,D,652,D,150,D,,A,5,,1,D,,A,,A,,A,0,D,0,D,0,D,07,D,2,,A,2,D,1,D,1,1,D,,A,1,10,2021,,A,1,D,1,D,2,,A,,A,,A,52,D,,A,,60662.764,49810.187,,60408.448,57688.120,,50891.752,,50007.542,63046.892,,,,69528.991,,,,,,50774.618,46395.684,54063.725,,55677.111,,,,55501.786,48846.871,48102.751,48422.123,44768.574,,53810.190,71003.527,55603.833,,,53953.463,,60488.100,,,135.77000,125.68000,0.00000,6.00000,0.00000,0.00000,0.00000,6.49000,0.00000,0.00000,3.99000,3.30000,0.00000,0.00000,0.00000,6.00000,4.24000,33.43000,0.00000,62.23000,10.09000,0.00000,0.00000,0.00000,0.00000,0.00000,49.50000,3.18000,1,D,,A,0,D,09,D,496538,,A,,A,0,D,65050.0,D,65050,65050,65050,65050,65050,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,65000.0,D,65000,65000,65000,65000,65000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,50,D,50,50,50,50,50,100,50,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,1,3,2,
0.5329252,0.5408012,0.5385671,0.5320292,0.5402008,0.5391492,0.6291669,04965382,60,D,,A,1,4,D,01,D,1,D,12,D,,A,1,D,,A,1,D,8,D,0,D,65050,D,29808.413,0,D,4973,D,0,D,,A,0,D,,A,0,D,0,D,65000,D,40,D,,A,0,D,544,D,125,D,652,D,150,D,,A,5,,1,D,,A,,A,,A,0,D,0,D,0,D,07,D,2,,A,2,D,1,D,1,1,D,,A,1,10,2021,,A,1,D,2,D,2,,A,,A,,A,52,D,,A,,60662.764,49810.187,,60408.448,57688.120,,50891.752,,50007.542,63046.892,,,,69528.991,,,,,,50774.618,46395.684,54063.725,,55677.111,,,,55501.786,48846.871,48102.751,48422.123,44768.574,,53810.190,71003.527,55603.833,,,53953.463,,60488.100,,,137.85000,127.56000,0.00000,2.99000,0.00000,0.00000,0.00000,11.09000,0.00000,0.00000,3.79000,1.35000,0.00000,2.29000,0.00000,0.00000,6.36000,23.30000,0.00000,76.39000,10.29000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,09,D,496538,,A,,A,0,D,65050.0,D,65050,65050,65050,65050,65050,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,65000.0,D,65000,65000,65000,65000,65000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,12,0,D,0,0,0,0,0,100,0,,A,,A,50,D,50,50,50,50,50,100,50,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,1,3,2,
