INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,URBAN,HISP_REF,HISP2
0.6604775,0.5359152,0.6627062,0.5906966,0.7327433,0.7467373,0.2502916,05170861,68,D,64,D,1,2,D,01,D,5,D,13,D,13,D,,A,1,D,2,D,1,D,0,D,19200,D,22294.109,0,D,0,D,0,D,,A,0,D,,A,19200,D,0,D,0,D,,A,45,D,0,D,739,D,170,D,870,D,200,D,,A,1,,1,D,,A,01,D,,A,0,D,0,D,1,D,,A,4,1,,2,D,1,D,4,1,D,2,,1,08,2022,1,D,2,D,1,D,2,,A,1,D,,A,0,D,52,D,45167.280,,,47993.950,,35843.039,,,47749.716,40259.457,40169.361,,40693.475,44983.398,43801.121,46547.218,55381.978,,,,44112.594,,49185.550,48350.321,45567.750,,,,,,40459.560,,,,40455.862,55633.762,,41021.819,,47816.154,38116.920,,,42087.873,133.80000,133.80000,0.99000,11.91000,0.00000,0.00000,9.98000,0.00000,21.56000,0.00000,4.99000,8.97000,16.58000,0.00000,4.77000,10.07000,3.79000,0.00000,5.99000,34.20000,0.00000,75.43000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,06,D,517086,,A,,A,0,D,98129.6,D,122209,118917,79286,98919,71317,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,19200.0,D,19200,19200,19200,19200,19200,100,0.0,D,0,0,0,0,0,100,78929.6,D,103009,99717,60086,79719,52117,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,3,1,2,2
0.5481811,0.6638341,0.4726882,0.6236554,0.2423085,0.6035968,0.2504581,05170862,68,D,64,D,1,2,D,01,D,5,D,13,D,13,D,,A,1,D,2,D,1,D,0,D,19200,D,22294.109,0,D,0,D,0,D,,A,0,D,,A,19200,D,0,D,0,D,,A,45,D,0,D,739,D,170,D,870,D,200,D,,A,1,,1,D,,A,01,D,,A,0,D,0,D,1,D,,A,4,1,,2,D,1,D,4,1,D,2,,1,08,2022,1,D,2,D,2,D,2,,A,1,D,,A,0,D,52,D,45167.280,,,47993.950,,35843.039,,,47749.716,40259.457,40169.361,,40693.475,44983.398,43801.121,46547.218,55381.978,,,,44112.594,,49185.550,48350.321,45567.750,,,,,,40459.560,,,,40455.862,55633.762,,41021.819,,47816.154,38116.920,,,42087.873,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,06,D,517086,,A,,A,0,D,73009.6,D,85320,32204,86169,61343,100012,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,19200.0,D,19200,19200,19200,19200,19200,100,0.0,D,0,0,0,0,0,100,53809.6,D,66120,13004,66969,42143,80812,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,3,1,2,2
0.0130883,0.0157886,0.0194407,0.0194227,0.0141396,0.0174115,0.1262950,05170881,58,D,,A,2,4,D,01,D,8,D,11,D,,A,,A,,A,1,D,8,D,0,D,1894,D,87430.550,0,D,0,D,0,D,,A,0,D,12,D,0,D,814,D,0,D,,A,,A,1080,D,130,D,30,D,174,D,40,D,,A,5,,0,D,,A,,A,,A,0,D,0,D,0,D,,A,4,,A,1,D,1,D,3,1,D,,A,2,08,2022,,A,,A,1,D,2,,A,4,D,,A,0,D,,A,176368.579,181892.780,173238.153,,,,133682.888,,156734.290,162871.864,141141.547,,,,,,160558.953,,,,135921.478,185384.989,,168648.638,,164800.918,144814.071,,,166762.516,,,154231.365,,175204.548,,,151764.296,143403.050,158262.897,,145766.401,143370.359,135681.239,24.80000,22.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.32000,12.00000,0.00000,5.08000,2.40000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,32.94000,1,D,,A,0,D,21,D,517088,,A,,A,0,D,1894.0,D,1894,1894,1894,1894,1894,100,0.0,D,0,0,0,0,0,0,D,0,D,90.0,D,90,90,90,90,90,100,0.0,D,0,0,0,0,0,100,814.0,D,814,814,814,814,814,100,0.0,D,0,0,0,0,0,100,D,1080.0,D,1080,1080,1080,1080,1080,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,6,3,2,2,
0.0124352,0.0151354,0.0187875,0.0187695,0.0134864,0.0167583,0.1256418,05170882,58,D,,A,2,4,D,01,D,8,D,11,D,,A,,A,,A,1,D,8,D,0,D,1894,D,87430.550,0,D,0,D,0,D,,A,0,D,12,D,0,D,814,D,0,D,,A,,A,1080,D,130,D,30,D,174,D,40,D,,A,5,,0,D,,A,,A,,A,0,D,0,D,0,D,,A,4,,A,1,D,1,D,3,1,D,,A,2,08,2022,,A,,A,2,D,2,,A,4,D,,A,0,D,,A,176368.579,181892.780,173238.153,,,,133682.888,,156734.290,162871.864,141141.547,,,,,,160558.953,,,,135921.478,185384.989,,168648.638,,164800.918,144814.071,,,166762.516,,,154231.365,,175204.548,,,151764.296,143403.050,158262.897,,145766.401,143370.359,135681.239,15.64000,15.64000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.48000,0.00000,0.00000,0.00000,13.16000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,21,D,517088,,A,,A,0,D,1894.0,D,1894,1894,1894,1894,1894,100,0.0,D,0,0,0,0,0,0,D,0,D,90.0,D,90,90,90,90,90,100,0.0,D,0,0,0,0,0,100,814.0,D,814,814,814,814,814,100,0.0,D,0,0,0,0,0,100,D,1080.0,D,1080,1080,1080,1080,1080,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,11,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,6,3,2,2,
0.6201671,0.6219271,0.6209513,0.6342943,0.6155265,0.6156724,0.6897867,05170891,59,D,,A,1,1,D,01,D,1,D,14,D,,A,1,D,,A,1,D,8,D,0,D,88000,D,66359.468,0,D,6732,D,0,D,,A,0,D,,A,0,D,0,D,88000,D,60,D,,A,0,D,174,D,40,D,217,D,50,D,,A,2,,1,D,,A,,A,,A,0,D,0,D,0,D,01,D,2,,A,2,D,1,D,1,2,D,,A,1,08,2022,1,D,2,D,1,D,2,,A,,A,,A,52,D,,A,,131192.493,127861.323,,119283.093,125258.889,,128181.673,,129862.894,119731.941,,,,106030.808,,,,,,123779.661,131279.864,139746.021,,120790.364,,,,138422.081,121932.147,117614.497,106629.875,112580.052,,125958.900,136067.290,126902.534,,,132545.619,,114647.604,,,203.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,203.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,09,D,517089,,A,,A,0,D,88000.0,D,88000,88000,88000,88000,88000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,88000.0,D,88000,88000,88000,88000,88000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,3,1,2,
0.6206629,0.6224228,0.6214470,0.6347900,0.6160223,0.6161681,0.6902825,05170892,59,D,,A,1,1,D,01,D,1,D,14,D,,A,1,D,,A,1,D,8,D,0,D,88000,D,66359.468,0,D,6732,D,0,D,,A,0,D,,A,0,D,0,D,88000,D,60,D,,A,0,D,174,D,40,D,217,D,50,D,,A,2,,1,D,,A,,A,,A,0,D,0,D,0,D,01,D,2,,A,2,D,1,D,1,2,D,,A,1,08,2022,1,D,2,D,2,D,2,,A,,A,,A,52,D,,A,,131192.493,127861.323,,119283.093,125258.889,,128181.673,,129862.894,119731.941,,,,106030.808,,,,,,123779.661,131279.864,139746.021,,120790.364,,,,138422.081,121932.147,117614.497,106629.875,112580.052,,125958.900,136067.290,126902.534,,,132545.619,,114647.604,,,338.35000,4.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.98000,0.00000,0.00000,333.37000,0.00000,0.00000,0.00000,3.19000,0.00000,0.00000,0.00000,1,D,,A,0,D,09,D,517089,,A,,A,0,D,88000.0,D,88000,88000,88000,88000,88000,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,88000.0,D,88000,88000,88000,88000,88000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,1,3,1,2,
0.1516038,0.1637627,0.1685953,0.1620452,0.1561212,0.1621459,0.2712821,05170921,67,D,,A,1,1,D,01,D,8,D,12,D,,A,,A,,A,1,D,8,D,0,D,22038,D,50451.702,0,D,0,D,0,D,,A,0,D,3,D,21456,D,0,D,0,D,,A,,A,582,D,413,D,95,D,478,D,110,D,,A,5,,0,D,,A,,A,,A,0,D,0,D,1,D,,A,1,,A,1,D,1,D,1,2,D,,A,1,08,2022,1,D,1,D,1,D,2,,A,1,D,,A,0,D,,A,91987.818,101852.045,,117100.369,112960.513,,,115938.644,,,89689.637,,68537.929,,,120235.500,110465.586,89419.640,,78781.222,96604.268,110592.038,90495.616,82417.982,,,,110168.566,,80901.930,100204.638,60152.733,,,,,,116720.839,,,,120757.939,116403.802,,119.98000,119.98000,0.00000,8.41030,9.60388,0.00000,6.82623,5.80014,0.00000,9.77840,7.55880,7.15954,9.61883,20.48882,4.22003,10.40777,4.25260,6.21772,0.00000,9.63694,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,D,1,D,0,D,34,D,517092,4,D,,A,0,D,22038.0,D,22038,22038,22038,22038,22038,100,0.0,D,0,0,0,0,0,0,D,0,D,194.0,D,194,194,194,194,194,100,21456.0,D,21456,21456,21456,21456,21456,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,582.0,D,582,582,582,582,582,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12B,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,3,2,1,
0.1512269,0.1633858,0.1682184,0.1616683,0.1557443,0.1617690,0.2709052,05170922,67,D,,A,1,1,D,01,D,8,D,12,D,,A,,A,,A,1,D,8,D,0,D,22038,D,50451.702,0,D,0,D,0,D,,A,0,D,3,D,21456,D,0,D,0,D,,A,,A,582,D,413,D,95,D,478,D,110,D,,A,5,,0,D,,A,,A,,A,0,D,0,D,1,D,,A,1,,A,1,D,1,D,1,2,D,,A,1,08,2022,1,D,1,D,2,D,2,,A,1,D,,A,0,D,,A,91987.818,101852.045,,117100.369,112960.513,,,115938.644,,,89689.637,,68537.929,,,120235.500,110465.586,89419.640,,78781.222,96604.268,110592.038,90495.616,82417.982,,,,110168.566,,80901.930,100204.638,60152.733,,,,,,116720.839,,,,120757.939,116403.802,,133.27001,133.27001,5.31073,7.15407,0.00000,0.00000,4.76536,0.00000,0.00000,0.00000,2.96038,13.94647,6.86817,17.12484,9.46482,17.66975,11.65065,0.00000,5.06210,31.29267,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,D,18,D,0,D,34,D,517092,4,D,,A,0,D,22038.0,D,22038,22038,22038,22038,22038,100,0.0,D,0,0,0,0,0,0,D,0,D,194.0,D,194,194,194,194,194,100,21456.0,D,21456,21456,21456,21456,21456,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,582.0,D,582,582,582,582,582,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12B,12,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,3,2,1,
0.1686071,0.1937798,0.1688522,0.1700768,0.1526283,0.1997831,0.2857264,05170931,77,D,,A,1,2,D,05,D,1,D,16,D,,A,1,D,,A,1,D,8,D,0,D,24000,D,34386.796,0,D,1836,D,0,D,,A,0,D,,A,0,D,0,D,24000,D,35,D,,A,0,D,348,D,80,D,435,D,100,D,,A,5,,1,D,,A,,A,,A,0,D,0,D,1,D,05,D,2,,A,2,D,1,D,2,2,D,,A,1,08,2022,1,D,,A,1,D,2,,A,,A,,A,52,D,,A,,74912.071,61496.122,,,74057.702,,64239.183,,,64968.765,69053.667,,72452.350,61544.212,,67168.266,,61261.052,69439.867,,,,68430.689,,,,,,60221.217,76127.497,57181.335,,60770.218,,,,62105.810,68631.034,62383.160,73732.537,75225.629,,76332.644,43.25000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,43.25000,0.00000,0.00000,15.69000,0.00000,0.00000,0.00000,0.00000,2,D,2,D,0,D,39,D,517093,,A,,A,0,D,24033.8,D,27096,21698,22844,22106,26425,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,24033.8,D,27096,21698,22844,22106,26425,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,1,1,2,
0.1879004,0.2141081,0.2227359,0.1963929,0.1598532,0.2008933,0.2859459,05170932,70,D,,A,1,2,D,05,D,1,D,14,D,,A,1,D,,A,1,D,8,D,0,D,24000,D,29384.242,0,D,1836,D,0,D,,A,0,D,,A,0,D,0,D,24000,D,35,D,,A,0,D,348,D,80,D,435,D,100,D,,A,5,,1,D,,A,,A,,A,0,D,0,D,1,D,05,D,2,,A,2,D,1,D,2,2,D,,A,1,09,2022,1,D,,A,2,D,2,,A,,A,,A,52,D,,A,,59433.247,67777.176,,,59949.136,,51784.869,,,42976.842,64897.752,,61822.147,51736.950,,59594.580,,51187.378,56069.917,,,,52192.696,,,,,,50388.552,60986.548,47720.218,,49433.563,,,,49775.956,53200.021,54875.812,59431.356,57676.323,,67991.561,93.58000,93.58000,0.00000,1.69000,28.00000,3.49000,0.00000,0.00000,0.00000,0.00000,23.27000,14.00000,4.58000,0.00000,0.00000,0.00000,0.00000,16.05000,0.00000,2.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,D,19,D,0,D,39,D,517093,,A,,A,0,D,26713.2,D,27106,22434,26573,28756,28697,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,26713.2,D,27106,22434,26573,28756,28697,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,3,3,1,2,
