"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
1071891,"800940",6998,,"1"
1071891,"900000",94463,,"1"
1071891,"980000",94463,,"1"
1071891,"980010",3,,"1"
1071891,"980020",46,,"1"
1071891,"980030",2,,"1"
1071891,"980040",2,,"1"
1071891,"980050",1,,"1"
1071891,"980070",94463,,"1"
1071891,"980090",100,,"1"
1071891,"980210",100,,"1"
1071891,"980230",100,,"1"
1071891,"980282",100,,"1"
1071891,"980286",100,,"1"
1071891,"980310",100,,"1"
1071891,"980330",100,,"1"
1071892,"800940",5802,,"1"
1071892,"900000",75835,,"1"
1071892,"980000",75835,,"1"
1071892,"980010",3,,"1"
1071892,"980020",46,,"1"
1071892,"980030",2,,"1"
1071892,"980040",2,,"1"
1071892,"980050",1,,"1"
1071892,"980070",75835,,"1"
1071892,"980090",100,,"1"
1071892,"980210",100,,"1"
1071892,"980230",100,,"1"
1071892,"980282",100,,"1"
1071892,"980286",100,,"1"
1071892,"980310",100,,"1"
1071892,"980330",100,,"1"
1071901,"900030",29674,,"1"
1071901,"900040",42000,,"1"
1071901,"900080",2000,,"1"
1071901,"950011",-400,,"1"
1071901,"950022",500,,"1"
1071901,"980000",73674,,"1"
1071901,"980010",2,,"1"
1071901,"980020",74,,"1"
1071901,"980040",2,,"1"
1071901,"980060",2,,"1"
1071901,"980070",73574,,"1"
1071901,"980090",100,,"1"
1071901,"980210",100,,"1"
1071901,"980230",100,,"1"
1071901,"980281",100,,"1"
1071901,"980286",100,,"1"
1071901,"980310",100,,"1"
1071901,"980330",100,,"1"
1071902,"900030",29674,,"1"
1071902,"900040",42000,,"1"
1071902,"900080",2000,,"1"
1071902,"950011",-400,,"1"
1071902,"950022",500,,"1"
1071902,"980000",73674,,"1"
1071902,"980010",2,,"1"
1071902,"980020",74,,"1"
1071902,"980040",2,,"1"
1071902,"980060",2,,"1"
1071902,"980070",73574,,"1"
1071902,"980090",100,,"1"
1071902,"980210",100,,"1"
1071902,"980230",100,,"1"
1071902,"980281",100,,"1"
1071902,"980286",100,,"1"
1071902,"980310",100,,"1"
1071902,"980330",100,,"1"
1071911,"800932",18000,,"1"
1071911,"800940",1378,,"1"
1071911,"900010",9000,,"1"
1071911,"900030",17113,,"1"
1071911,"900080",7000,,"1"
1071911,"900090",1,,"1"
1071911,"950001",-6400,,"1"
1071911,"950003",2700,,"1"
1071911,"950011",-1400,,"1"
1071911,"950022",60,,"1"
1071911,"980000",33114,,"1"
1071911,"980010",2,,"1"
1071911,"980020",60,,"1"
1071911,"980030",2,,"1"
1071911,"980040",2,,"1"
1071911,"980070",38154,,"1"
