"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1045051,"800940","1",3162,,"1"
1045051,"800940","1",2970,,"2"
1045051,"800940","1",5854,,"3"
1045051,"800940","1",8645,,"4"
1045051,"800940","1",3311,,"5"
1045051,"900000","1",41325,,"1"
1045051,"900000","1",38828,,"2"
1045051,"900000","1",76510,,"3"
1045051,"900000","1",113009,,"4"
1045051,"900000","1",43273,,"5"
1045051,"980000","1",41325,,"1"
1045051,"980000","1",38828,,"2"
1045051,"980000","1",76510,,"3"
1045051,"980000","1",113009,,"4"
1045051,"980000","1",43273,,"5"
1045051,"980070","1",41325,,"1"
1045051,"980070","1",38828,,"2"
1045051,"980070","1",76510,,"3"
1045051,"980070","1",113009,,"4"
1045051,"980070","1",43273,,"5"
1045052,"800940","1",2604,,"1"
1045052,"800940","1",3909,,"2"
1045052,"800940","1",6052,,"3"
1045052,"800940","1",4010,,"4"
1045052,"800940","1",4801,,"5"
1045052,"900000","1",34037,,"1"
1045052,"900000","1",51104,,"2"
1045052,"900000","1",79107,,"3"
1045052,"900000","1",52423,,"4"
1045052,"900000","1",62760,,"5"
1045052,"980000","1",34037,,"1"
1045052,"980000","1",51104,,"2"
1045052,"980000","1",79107,,"3"
1045052,"980000","1",52423,,"4"
1045052,"980000","1",62760,,"5"
1045052,"980070","1",34037,,"1"
1045052,"980070","1",51104,,"2"
1045052,"980070","1",79107,,"3"
1045052,"980070","1",52423,,"4"
1045052,"980070","1",62760,,"5"
1041321,"800940","1",5967,,"1"
1041321,"800940","1",5967,,"2"
1041321,"800940","1",5967,,"3"
1041321,"800940","1",5967,,"4"
1041321,"800940","1",5967,,"5"
1041321,"900000","1",78000,,"1"
1041321,"900000","1",78000,,"2"
1041321,"900000","1",78000,,"3"
1041321,"900000","1",78000,,"4"
1041321,"900000","1",78000,,"5"
1041321,"900040","1",36000,,"1"
1041321,"900040","1",36000,,"2"
1041321,"900040","1",36000,,"3"
1041321,"900040","1",36000,,"4"
