"NEWID","UCC","PUB_FLAG","AMOUNT","AMOUNT_","IMPNUM"
1205001,"900100","1",29120,,"1"
1205001,"900100","1",29120,,"2"
1205001,"900100","1",29120,,"3"
1205001,"900100","1",29120,,"4"
1205001,"900100","1",29120,,"5"
1205001,"980000","1",29120,,"1"
1205001,"980000","1",29120,,"2"
1205001,"980000","1",29120,,"3"
1205001,"980000","1",29120,,"4"
1205001,"980000","1",29120,,"5"
1205001,"980070","1",33120,,"1"
1205001,"980070","1",33120,,"2"
1205001,"980070","1",33120,,"3"
1205001,"980070","1",33120,,"4"
1205001,"980070","1",33120,,"5"
1205002,"900100","1",29120,,"1"
1205002,"900100","1",29120,,"2"
1205002,"900100","1",29120,,"3"
1205002,"900100","1",29120,,"4"
1205002,"900100","1",29120,,"5"
1205002,"980000","1",29120,,"1"
1205002,"980000","1",29120,,"2"
1205002,"980000","1",29120,,"3"
1205002,"980000","1",29120,,"4"
1205002,"980000","1",29120,,"5"
1205002,"980070","1",33120,,"1"
1205002,"980070","1",33120,,"2"
1205002,"980070","1",33120,,"3"
1205002,"980070","1",33120,,"4"
1205002,"980070","1",33120,,"5"
1198681,"800940","1",7401,,"1"
1198681,"800940","1",6599,,"2"
1198681,"800940","1",8305,,"3"
1198681,"800940","1",10473,,"4"
1198681,"800940","1",6494,,"5"
1198681,"900000","1",96756,,"1"
1198681,"900000","1",86249,,"2"
1198681,"900000","1",108569,,"3"
1198681,"900000","1",136910,,"4"
1198681,"900000","1",84885,,"5"
1198681,"900080","1",504,,"1"
1198681,"900080","1",133,,"2"
1198681,"900080","1",34,,"3"
1198681,"900080","1",82,,"4"
1198681,"900080","1",95,,"5"
1198681,"980000","1",97260,,"1"
1198681,"980000","1",86382,,"2"
1198681,"980000","1",108603,,"3"
1198681,"980000","1",136992,,"4"
1198681,"980000","1",84980,,"5"
1198681,"980070","1",97260,,"1"
1198681,"980070","1",86382,,"2"
1198681,"980070","1",108603,,"3"
1198681,"980070","1",136992,,"4"
1198681,"980070","1",84980,,"5"
1198682,"800940","1",7388,,"1"
1198682,"800940","1",10085,,"2"
1198682,"800940","1",9431,,"3"
1198682,"800940","1",11817,,"4"
1198682,"800940","1",7769,,"5"
1198682,"900000","1",96582,,"1"
1198682,"900000","1",131833,,"2"
1198682,"900000","1",123282,,"3"
1198682,"900000","1",154469,,"4"
1198682,"900000","1",101566,,"5"
1198682,"900080","1",31,,"1"
1198682,"900080","1",45,,"2"
1198682,"900080","1",99,,"3"
1198682,"900080","1",36,,"4"
1198682,"900080","1",20,,"5"
1198682,"980000","1",96613,,"1"
1198682,"980000","1",131878,,"2"
1198682,"980000","1",123381,,"3"
1198682,"980000","1",154505,,"4"
1198682,"980000","1",101586,,"5"
1198682,"980070","1",96613,,"1"
1198682,"980070","1",131878,,"2"
1198682,"980070","1",123381,,"3"
1198682,"980070","1",154505,,"4"
1198682,"980070","1",101586,,"5"
1196901,"900100","1",8266,,"1"
1196901,"900100","1",29836,,"2"
1196901,"900100","1",16016,,"3"
1196901,"900100","1",30418,,"4"
1196901,"900100","1",16705,,"5"
1196901,"980000","1",8266,,"1"
1196901,"980000","1",29836,,"2"
1196901,"980000","1",16016,,"3"
1196901,"980000","1",30418,,"4"
1196901,"980000","1",16705,,"5"
1196901,"980070","1",8266,,"1"
1196901,"980070","1",29836,,"2"
1196901,"980070","1",16016,,"3"
1196901,"980070","1",30418,,"4"
1196901,"980070","1",16705,,"5"
1196902,"900080","1",433,,"1"
1196902,"900080","1",81,,"2"
1196902,"900080","1",155,,"3"
1196902,"900080","1",42,,"4"
1196902,"900080","1",8,,"5"
1196902,"900100","1",19607,,"1"
1196902,"900100","1",19591,,"2"
1196902,"900100","1",3929,,"3"
1196902,"900100","1",19830,,"4"
1196902,"900100","1",4247,,"5"
1196902,"980000","1",20040,,"1"
1196902,"980000","1",19672,,"2"
1196902,"980000","1",4084,,"3"
1196902,"980000","1",19872,,"4"
1196902,"980000","1",4255,,"5"
1196902,"980070","1",20040,,"1"
1196902,"980070","1",19672,,"2"
1196902,"980070","1",4084,,"3"
1196902,"980070","1",19872,,"4"
1196902,"980070","1",4255,,"5"
1197281,"900030","1",21840,,"1"
1197281,"900030","1",21528,,"2"
1197281,"900030","1",17712,,"3"
1197281,"900030","1",10044,,"4"
1197281,"900030","1",34740,,"5"
1197281,"900040","1",8252,,"1"
1197281,"900040","1",6731,,"2"
1197281,"900040","1",26269,,"3"
1197281,"900040","1",26598,,"4"
1197281,"900040","1",21038,,"5"
1197281,"980000","1",30092,,"1"
1197281,"980000","1",28259,,"2"
1197281,"980000","1",43981,,"3"
1197281,"980000","1",36642,,"4"
1197281,"980000","1",55778,,"5"
1197281,"980070","1",30092,,"1"
1197281,"980070","1",28259,,"2"
1197281,"980070","1",43981,,"3"
1197281,"980070","1",36642,,"4"
1197281,"980070","1",55778,,"5"
1207271,"900030","1",16205,,"1"
1207271,"900030","1",27161,,"2"
1207271,"900030","1",23285,,"3"
1207271,"900030","1",21089,,"4"
1207271,"900030","1",28853,,"5"
1207271,"980000","1",16205,,"1"
1207271,"980000","1",27161,,"2"
1207271,"980000","1",23285,,"3"
1207271,"980000","1",21089,,"4"
1207271,"980000","1",28853,,"5"
1207271,"980070","1",16205,,"1"
1207271,"980070","1",27161,,"2"
1207271,"980070","1",23285,,"3"
1207271,"980070","1",21089,,"4"
1207271,"980070","1",28853,,"5"
1207272,"900030","1",25313,,"1"
1207272,"900030","1",24077,,"2"
1207272,"900030","1",29249,,"3"
1207272,"900030","1",25121,,"4"
1207272,"900030","1",37109,,"5"
1207272,"980000","1",25313,,"1"
1207272,"980000","1",24077,,"2"
1207272,"980000","1",29249,,"3"
1207272,"980000","1",25121,,"4"
1207272,"980000","1",37109,,"5"
1207272,"980070","1",25313,,"1"
1207272,"980070","1",24077,,"2"
1207272,"980070","1",29249,,"3"
1207272,"980070","1",25121,,"4"
1207272,"980070","1",37109,,"5"
1199181,"800940","1",9939,,"1"
1199181,"800940","1",9939,,"2"
1199181,"800940","1",9939,,"3"
1199181,"800940","1",9939,,"4"
1199181,"800940","1",9939,,"5"
1199181,"900000","1",132500,,"1"
1199181,"900000","1",132500,,"2"
1199181,"900000","1",132500,,"3"
1199181,"900000","1",132500,,"4"
1199181,"900000","1",132500,,"5"
1199181,"900080","1",100,,"1"
1199181,"900080","1",100,,"2"
1199181,"900080","1",100,,"3"
1199181,"900080","1",100,,"4"
1199181,"900080","1",100,,"5"
1199181,"900100","1",600,,"1"
1199181,"900100","1",600,,"2"
1199181,"900100","1",600,,"3"
1199181,"900100","1",600,,"4"
1199181,"900100","1",600,,"5"
1199181,"950002","1",14941,,"1"
1199181,"950002","1",14941,,"2"
1199181,"950002","1",14941,,"3"
1199181,"950002","1",14941,,"4"
1199181,"950002","1",14941,,"5"
1199181,"950012","1",3974,,"1"
1199181,"950012","1",3974,,"2"
1199181,"950012","1",3974,,"3"
1199181,"950012","1",3974,,"4"
1199181,"950012","1",3974,,"5"
1199181,"980000","1",133200,,"1"
1199181,"980000","1",133200,,"2"
1199181,"980000","1",133200,,"3"
1199181,"980000","1",133200,,"4"
1199181,"980000","1",133200,,"5"
1199181,"980070","1",126431,"T","1"
1199181,"980070","1",126431,"T","2"
1199181,"980070","1",126431,"T","3"
1199181,"980070","1",126431,"T","4"
1199181,"980070","1",126431,"T","5"
1199182,"800940","1",9939,,"1"
1199182,"800940","1",9939,,"2"
1199182,"800940","1",9939,,"3"
1199182,"800940","1",9939,,"4"
1199182,"800940","1",9939,,"5"
1199182,"900000","1",132500,,"1"
1199182,"900000","1",132500,,"2"
1199182,"900000","1",132500,,"3"
1199182,"900000","1",132500,,"4"
1199182,"900000","1",132500,,"5"
1199182,"900080","1",100,,"1"
1199182,"900080","1",100,,"2"
1199182,"900080","1",100,,"3"
1199182,"900080","1",100,,"4"
1199182,"900080","1",100,,"5"
1199182,"900100","1",600,,"1"
1199182,"900100","1",600,,"2"
1199182,"900100","1",600,,"3"
1199182,"900100","1",600,,"4"
1199182,"900100","1",600,,"5"
1199182,"950002","1",14941,,"1"
1199182,"950002","1",14941,,"2"
1199182,"950002","1",14941,,"3"
1199182,"950002","1",14941,,"4"
1199182,"950002","1",14941,,"5"
1199182,"950012","1",3974,,"1"
1199182,"950012","1",3974,,"2"
1199182,"950012","1",3974,,"3"
1199182,"950012","1",3974,,"4"
1199182,"950012","1",3974,,"5"
1199182,"980000","1",133200,,"1"
1199182,"980000","1",133200,,"2"
1199182,"980000","1",133200,,"3"
1199182,"980000","1",133200,,"4"
1199182,"980000","1",133200,,"5"
1199182,"980070","1",126431,"T","1"
1199182,"980070","1",126431,"T","2"
1199182,"980070","1",126431,"T","3"
1199182,"980070","1",126431,"T","4"
1199182,"980070","1",126431,"T","5"
1199741,"800940","1",1937,,"1"
1199741,"800940","1",1937,,"2"
1199741,"800940","1",1937,,"3"
1199741,"800940","1",1937,,"4"
1199741,"800940","1",1937,,"5"
1199741,"900000","1",25312,,"1"
1199741,"900000","1",25312,,"2"
1199741,"900000","1",25312,,"3"
1199741,"900000","1",25312,,"4"
1199741,"900000","1",25312,,"5"
1199741,"900030","1",29520,,"1"
1199741,"900030","1",29520,,"2"
1199741,"900030","1",29520,,"3"
1199741,"900030","1",29520,,"4"
1199741,"900030","1",29520,,"5"
1199741,"900080","1",10583,,"1"
1199741,"900080","1",10988,,"2"
1199741,"900080","1",13300,,"3"
1199741,"900080","1",13226,,"4"
1199741,"900080","1",10137,,"5"
1199741,"950002","1",987,,"1"
1199741,"950002","1",987,,"2"
1199741,"950002","1",987,,"3"
1199741,"950002","1",987,,"4"
1199741,"950002","1",987,,"5"
1199741,"950012","1",791,,"1"
1199741,"950012","1",791,,"2"
1199741,"950012","1",791,,"3"
1199741,"950012","1",791,,"4"
1199741,"950012","1",791,,"5"
1199741,"980000","1",65415,,"1"
1199741,"980000","1",65820,,"2"
1199741,"980000","1",68132,,"3"
1199741,"980000","1",68058,,"4"
1199741,"980000","1",64969,,"5"
1199741,"980070","1",65137,,"1"
1199741,"980070","1",65542,,"2"
1199741,"980070","1",67854,,"3"
1199741,"980070","1",67780,,"4"
1199741,"980070","1",64691,,"5"
1199742,"800940","1",1937,,"1"
1199742,"800940","1",1937,,"2"
1199742,"800940","1",1937,,"3"
1199742,"800940","1",1937,,"4"
1199742,"800940","1",1937,,"5"
1199742,"900000","1",25312,,"1"
1199742,"900000","1",25312,,"2"
1199742,"900000","1",25312,,"3"
1199742,"900000","1",25312,,"4"
1199742,"900000","1",25312,,"5"
1199742,"900030","1",29520,,"1"
1199742,"900030","1",29520,,"2"
1199742,"900030","1",29520,,"3"
1199742,"900030","1",29520,,"4"
1199742,"900030","1",29520,,"5"
1199742,"900080","1",12701,,"1"
1199742,"900080","1",10257,,"2"
1199742,"900080","1",10584,,"3"
1199742,"900080","1",10196,,"4"
1199742,"900080","1",10543,,"5"
1199742,"950002","1",987,,"1"
1199742,"950002","1",987,,"2"
1199742,"950002","1",987,,"3"
1199742,"950002","1",987,,"4"
1199742,"950002","1",987,,"5"
1199742,"950012","1",791,,"1"
1199742,"950012","1",791,,"2"
1199742,"950012","1",791,,"3"
1199742,"950012","1",791,,"4"
1199742,"950012","1",791,,"5"
1199742,"980000","1",67533,,"1"
1199742,"980000","1",65089,,"2"
1199742,"980000","1",65416,,"3"
1199742,"980000","1",65028,,"4"
1199742,"980000","1",65375,,"5"
1199742,"980070","1",67255,,"1"
1199742,"980070","1",64811,,"2"
1199742,"980070","1",65138,,"3"
1199742,"980070","1",64750,,"4"
1199742,"980070","1",65097,,"5"
1197381,"900040","1",60000,,"1"
1197381,"900040","1",60000,,"2"
1197381,"900040","1",60000,,"3"
1197381,"900040","1",60000,,"4"
1197381,"900040","1",60000,,"5"
1197381,"980000","1",60000,,"1"
1197381,"980000","1",60000,,"2"
1197381,"980000","1",60000,,"3"
1197381,"980000","1",60000,,"4"
1197381,"980000","1",60000,,"5"
1197381,"980070","1",64000,,"1"
1197381,"980070","1",64000,,"2"
1197381,"980070","1",64000,,"3"
1197381,"980070","1",64000,,"4"
1197381,"980070","1",64000,,"5"
1198421,"800940","1",1193,,"1"
1198421,"800940","1",1193,,"2"
1198421,"800940","1",1193,,"3"
1198421,"800940","1",1193,,"4"
1198421,"800940","1",1193,,"5"
1198421,"900000","1",15600,,"1"
1198421,"900000","1",15600,,"2"
1198421,"900000","1",15600,,"3"
1198421,"900000","1",15600,,"4"
1198421,"900000","1",15600,,"5"
1198421,"900090","1",4404,,"1"
1198421,"900090","1",4404,,"2"
1198421,"900090","1",4404,,"3"
1198421,"900090","1",4404,,"4"
1198421,"900090","1",4404,,"5"
1198421,"980000","1",20004,,"1"
1198421,"980000","1",20004,,"2"
1198421,"980000","1",20004,,"3"
1198421,"980000","1",20004,,"4"
1198421,"980000","1",20004,,"5"
1198421,"980070","1",23004,,"1"
1198421,"980070","1",23004,,"2"
1198421,"980070","1",23004,,"3"
1198421,"980070","1",23004,,"4"
1198421,"980070","1",23004,,"5"
1198422,"800940","1",1193,,"1"
1198422,"800940","1",1193,,"2"
1198422,"800940","1",1193,,"3"
1198422,"800940","1",1193,,"4"
1198422,"800940","1",1193,,"5"
1198422,"900000","1",15600,,"1"
1198422,"900000","1",15600,,"2"
1198422,"900000","1",15600,,"3"
1198422,"900000","1",15600,,"4"
1198422,"900000","1",15600,,"5"
1198422,"900090","1",4404,,"1"
1198422,"900090","1",4404,,"2"
1198422,"900090","1",4404,,"3"
1198422,"900090","1",4404,,"4"
1198422,"900090","1",4404,,"5"
1198422,"980000","1",20004,,"1"
1198422,"980000","1",20004,,"2"
1198422,"980000","1",20004,,"3"
1198422,"980000","1",20004,,"4"
1198422,"980000","1",20004,,"5"
1198422,"980070","1",23004,,"1"
1198422,"980070","1",23004,,"2"
1198422,"980070","1",23004,,"3"
1198422,"980070","1",23004,,"4"
1198422,"980070","1",23004,,"5"
1199772,"800940","1",3749,,"1"
1199772,"800940","1",3749,,"2"
1199772,"800940","1",3749,,"3"
1199772,"800940","1",3749,,"4"
1199772,"800940","1",3749,,"5"
1199772,"900000","1",49000,,"1"
1199772,"900000","1",49000,,"2"
1199772,"900000","1",49000,,"3"
1199772,"900000","1",49000,,"4"
1199772,"900000","1",49000,,"5"
1199772,"950002","1",6456,,"1"
1199772,"950002","1",6456,,"2"
1199772,"950002","1",6456,,"3"
