"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"800940",7389,"1",1386671,"1",
"800940",7190,"2",1386671,"1",
"800940",7742,"3",1386671,"1",
"800940",7783,"4",1386671,"1",
"800940",7300,"5",1386671,"1",
"900000",96580,"1",1386671,"1",
"900000",93996,"2",1386671,"1",
"900000",101205,"3",1386671,"1",
"900000",101746,"4",1386671,"1",
"900000",95422,"5",1386671,"1",
"900080",1184,"1",1386671,"1",
"900080",1179,"2",1386671,"1",
"900080",1402,"3",1386671,"1",
"900080",1669,"4",1386671,"1",
"900080",1059,"5",1386671,"1",
"980000",97764,"1",1386671,"1",
"980000",95175,"2",1386671,"1",
"980000",102607,"3",1386671,"1",
"980000",103415,"4",1386671,"1",
"980000",96481,"5",1386671,"1",
"980070",101153,"1",1386671,"1",
"980070",98564,"2",1386671,"1",
"980070",105996,"3",1386671,"1",
"980070",106804,"4",1386671,"1",
"980070",99870,"5",1386671,"1",
"800940",8393,"1",1386672,"1",
"800940",7962,"2",1386672,"1",
"800940",8949,"3",1386672,"1",
"800940",7982,"4",1386672,"1",
"800940",8322,"5",1386672,"1",
"900000",109709,"1",1386672,"1",
"900000",104075,"2",1386672,"1",
"900000",116979,"3",1386672,"1",
"900000",104334,"4",1386672,"1",
"900000",108783,"5",1386672,"1",
"900080",1188,"1",1386672,"1",
"900080",1156,"2",1386672,"1",
"900080",1084,"3",1386672,"1",
"900080",1562,"4",1386672,"1",
"900080",1303,"5",1386672,"1",
"980000",110897,"1",1386672,"1",
"980000",105231,"2",1386672,"1",
"980000",118063,"3",1386672,"1",
"980000",105896,"4",1386672,"1",
"980000",110086,"5",1386672,"1",
"980070",114286,"1",1386672,"1",
"980070",108620,"2",1386672,"1",
"980070",121452,"3",1386672,"1",
"980070",109285,"4",1386672,"1",
"980070",113475,"5",1386672,"1",
"900030",22787,"1",1386681,"1",
"900030",17099,"2",1386681,"1",
"900030",17447,"3",1386681,"1",
