"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
1292531,"800940",1913,,"1"
1292531,"900000",25000,,"1"
1292531,"900100",7500,,"1"
1292531,"950001",-1000,,"1"
1292531,"980000",32500,,"1"
1292531,"980010",3,,"1"
1292531,"980020",44,,"1"
1292531,"980030",1,,"1"
1292531,"980040",1,,"1"
1292531,"980050",2,,"1"
1292531,"980070",33500,,"1"
1292531,"980090",100,,"1"
1292531,"980210",100,,"1"
1292531,"980230",100,,"1"
1292531,"980281",100,,"1"
1292531,"980286",100,,"1"
1292531,"980300",100,,"1"
1292531,"980330",100,,"1"
1292532,"800940",1913,,"1"
1292532,"900000",25000,,"1"
1292532,"900100",7500,,"1"
1292532,"950001",-1000,,"1"
1292532,"980000",32500,,"1"
1292532,"980010",3,,"1"
1292532,"980020",44,,"1"
1292532,"980030",1,,"1"
1292532,"980040",1,,"1"
1292532,"980050",2,,"1"
1292532,"980070",33500,,"1"
1292532,"980090",100,,"1"
1292532,"980210",100,,"1"
1292532,"980230",100,,"1"
1292532,"980281",100,,"1"
1292532,"980286",100,,"1"
1292532,"980300",100,,"1"
1292532,"980330",100,,"1"
1292561,"900090",8040,,"1"
1292561,"900100",1425,,"1"
1292561,"900150",1644,,"1"
1292561,"980000",11109,,"1"
1292561,"980010",2,,"1"
1292561,"980020",49,,"1"
1292561,"980070",11109,,"1"
1292561,"980210",100,,"1"
1292561,"980260",100,,"1"
1292561,"980270",100,,"1"
1292561,"980286",100,,"1"
1292561,"980310",100,,"1"
1292562,"900090",8040,,"1"
1292562,"900100",1425,,"1"
1292562,"900150",1644,,"1"
1292562,"980000",11109,,"1"
1292562,"980010",2,,"1"
1292562,"980020",49,,"1"
1292562,"980070",11109,,"1"
1292562,"980210",100,,"1"
1292562,"980260",100,,"1"
1292562,"980270",100,,"1"
1292562,"980286",100,,"1"
1292562,"980310",100,,"1"
1292572,"800940",7734,,"1"
1292572,"900000",101104,,"1"
1292572,"980000",101104,,"1"
1292572,"980010",6,,"1"
1292572,"980020",56,,"1"
1292572,"980030",4,,"1"
1292572,"980040",1,,"1"
1292572,"980070",101104,,"1"
1292572,"980210",100,,"1"
1292572,"980260",100,,"1"
1292572,"980282",100,,"1"
1292572,"980286",100,,"1"
1292572,"980310",100,,"1"
1292572,"980330",100,,"1"
1292581,"800940",918,,"1"
1292581,"900000",12000,,"1"
1292581,"900120",138,,"1"
1292581,"900150",8016,,"1"
1292581,"980000",20154,,"1"
1292581,"980010",4,,"1"
1292581,"980020",34,,"1"
1292581,"980030",1,,"1"
1292581,"980050",3,,"1"
1292581,"980070",20154,,"1"
1292581,"980220",100,,"1"
1292581,"980260",100,,"1"
1292581,"980283",100,,"1"
1292581,"980285",100,,"1"
1292581,"980290",100,,"1"
1292582,"800940",918,,"1"
1292582,"900000",12000,,"1"
1292582,"900120",138,,"1"
1292582,"900150",8016,,"1"
1292582,"980000",20154,,"1"
1292582,"980010",4,,"1"
1292582,"980020",34,,"1"
