"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"800940",1688,"1",1482521,"1",
"800940",1837,"2",1482521,"1",
"800940",1639,"3",1482521,"1",
"800940",2235,"4",1482521,"1",
"800940",2292,"5",1482521,"1",
"900000",40280,"1",1482521,"1",
"900000",40245,"2",1482521,"1",
"900000",38242,"3",1482521,"1",
"900000",44391,"4",1482521,"1",
"900000",46416,"5",1482521,"1",
"900160",1,"1",1482521,"1",
"900160",1,"2",1482521,"1",
"900160",1,"3",1482521,"1",
"900160",1,"4",1482521,"1",
"900160",1,"5",1482521,"1",
"980000",40281,"1",1482521,"1",
"980000",40246,"2",1482521,"1",
"980000",38243,"3",1482521,"1",
"980000",44392,"4",1482521,"1",
"980000",46417,"5",1482521,"1",
"980070",40481,"1",1482521,"1",
"980070",40446,"2",1482521,"1",
"980070",38443,"3",1482521,"1",
"980070",44592,"4",1482521,"1",
"980070",46617,"5",1482521,"1",
"800940",2196,"1",1482522,"1",
"800940",2105,"2",1482522,"1",
"800940",1592,"3",1482522,"1",
"800940",1627,"4",1482522,"1",
"800940",1787,"5",1482522,"1",
"900000",45778,"1",1482522,"1",
"900000",44880,"2",1482522,"1",
"900000",39530,"3",1482522,"1",
"900000",38843,"4",1482522,"1",
"900000",39192,"5",1482522,"1",
"900160",1,"1",1482522,"1",
"900160",1,"2",1482522,"1",
"900160",1,"3",1482522,"1",
"900160",1,"4",1482522,"1",
"900160",1,"5",1482522,"1",
"980000",45779,"1",1482522,"1",
"980000",44881,"2",1482522,"1",
"980000",39531,"3",1482522,"1",
"980000",38844,"4",1482522,"1",
"980000",39193,"5",1482522,"1",
"980070",45979,"1",1482522,"1",
"980070",45081,"2",1482522,"1",
"980070",39731,"3",1482522,"1",
"980070",39044,"4",1482522,"1",
"980070",39393,"5",1482522,"1",
"900000",62000,"1",1482541,"1",
"900000",62000,"2",1482541,"1",
"900000",62000,"3",1482541,"1",
"900000",62000,"4",1482541,"1",
"900000",62000,"5",1482541,"1",
"980000",62000,"1",1482541,"1",
"980000",62000,"2",1482541,"1",
"980000",62000,"3",1482541,"1",
"980000",62000,"4",1482541,"1",
"980000",62000,"5",1482541,"1",
"980070",67200,"1",1482541,"1",
"980070",67200,"2",1482541,"1",
"980070",67200,"3",1482541,"1",
"980070",67200,"4",1482541,"1",
"980070",67200,"5",1482541,"1",
"900000",62000,"1",1482542,"1",
"900000",62000,"2",1482542,"1",
"900000",62000,"3",1482542,"1",
"900000",62000,"4",1482542,"1",
"900000",62000,"5",1482542,"1",
"980000",62000,"1",1482542,"1",
"980000",62000,"2",1482542,"1",
"980000",62000,"3",1482542,"1",
"980000",62000,"4",1482542,"1",
"980000",62000,"5",1482542,"1",
"980070",67200,"1",1482542,"1",
"980070",67200,"2",1482542,"1",
"980070",67200,"3",1482542,"1",
"980070",67200,"4",1482542,"1",
"980070",67200,"5",1482542,"1",
