"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900000",16038,"1",1419321,"1",
"900000",3330,"2",1419321,"1",
"900000",47226,"3",1419321,"1",
"900000",30114,"4",1419321,"1",
"900000",269,"5",1419321,"1",
"980000",16038,"1",1419321,"1",
"980000",3330,"2",1419321,"1",
"980000",47226,"3",1419321,"1",
"980000",30114,"4",1419321,"1",
"980000",269,"5",1419321,"1",
"980070",16038,"1",1419321,"1",
"980070",3330,"2",1419321,"1",
"980070",47226,"3",1419321,"1",
"980070",30114,"4",1419321,"1",
"980070",269,"5",1419321,"1",
"900000",9695,"1",1419322,"1",
"900000",5798,"2",1419322,"1",
"900000",5018,"3",1419322,"1",
"900000",36259,"4",1419322,"1",
"900000",8474,"5",1419322,"1",
"980000",9695,"1",1419322,"1",
"980000",5798,"2",1419322,"1",
"980000",5018,"3",1419322,"1",
"980000",36259,"4",1419322,"1",
"980000",8474,"5",1419322,"1",
"980070",9695,"1",1419322,"1",
"980070",5798,"2",1419322,"1",
"980070",5018,"3",1419322,"1",
"980070",36259,"4",1419322,"1",
"980070",8474,"5",1419322,"1",
"900000",1058,"1",1419341,"1",
"900000",42065,"2",1419341,"1",
"900000",31827,"3",1419341,"1",
"900000",7416,"4",1419341,"1",
"900000",20428,"5",1419341,"1",
"980000",1058,"1",1419341,"1",
"980000",42065,"2",1419341,"1",
"980000",31827,"3",1419341,"1",
"980000",7416,"4",1419341,"1",
"980000",20428,"5",1419341,"1",
"980070",1058,"1",1419341,"1",
"980070",42065,"2",1419341,"1",
"980070",31827,"3",1419341,"1",
"980070",7416,"4",1419341,"1",
"980070",20428,"5",1419341,"1",
"900000",15456,"1",1419342,"1",
"900000",1234,"2",1419342,"1",
"900000",15388,"3",1419342,"1",
"900000",28679,"4",1419342,"1",
"900000",6141,"5",1419342,"1",
"980000",15456,"1",1419342,"1",
"980000",1234,"2",1419342,"1",
"980000",15388,"3",1419342,"1",
"980000",28679,"4",1419342,"1",
"980000",6141,"5",1419342,"1",
"980070",15456,"1",1419342,"1",
"980070",1234,"2",1419342,"1",
"980070",15388,"3",1419342,"1",
"980070",28679,"4",1419342,"1",
"980070",6141,"5",1419342,"1",
"900000",106444,"1",1419351,"1",
"900000",129913,"2",1419351,"1",
"900000",91502,"3",1419351,"1",
"900000",196338,"4",1419351,"1",
"900000",43849,"5",1419351,"1",
"900180",61,"1",1419351,"1",
"900180",1,"2",1419351,"1",
"900180",34,"3",1419351,"1",
"900180",7,"4",1419351,"1",
"900180",904,"5",1419351,"1",
"980000",106505,"1",1419351,"1",
"980000",129914,"2",1419351,"1",
"980000",91536,"3",1419351,"1",
"980000",196345,"4",1419351,"1",
"980000",44753,"5",1419351,"1",
"980070",106505,"1",1419351,"1",
"980070",129914,"2",1419351,"1",
"980070",91536,"3",1419351,"1",
"980070",196345,"4",1419351,"1",
"980070",44753,"5",1419351,"1",
"900000",139051,"1",1419352,"1",
"900000",117780,"2",1419352,"1",
"900000",140937,"3",1419352,"1",
"900000",77248,"4",1419352,"1",
"900000",83454,"5",1419352,"1",
"900180",517,"1",1419352,"1",
"900180",37,"2",1419352,"1",
"900180",6214,"3",1419352,"1",
"900180",13626,"4",1419352,"1",
"900180",2596,"5",1419352,"1",
"980000",139568,"1",1419352,"1",
"980000",117817,"2",1419352,"1",
"980000",147151,"3",1419352,"1",
"980000",90874,"4",1419352,"1",
"980000",86050,"5",1419352,"1",
"980070",139568,"1",1419352,"1",
"980070",117817,"2",1419352,"1",
"980070",147151,"3",1419352,"1",
"980070",90874,"4",1419352,"1",
"980070",86050,"5",1419352,"1",
"900000",12000,"1",1419371,"1",
"900000",12000,"2",1419371,"1",
"900000",12000,"3",1419371,"1",
"900000",12000,"4",1419371,"1",
"900000",12000,"5",1419371,"1",
"900150",4200,"1",1419371,"1",
"900150",4200,"2",1419371,"1",
"900150",4200,"3",1419371,"1",
"900150",4200,"4",1419371,"1",
"900150",4200,"5",1419371,"1",
"980000",16200,"1",1419371,"1",
"980000",16200,"2",1419371,"1",
"980000",16200,"3",1419371,"1",
"980000",16200,"4",1419371,"1",
"980000",16200,"5",1419371,"1",
"980070",20180,"1",1419371,"1",
"980070",20180,"2",1419371,"1",
"980070",20180,"3",1419371,"1",
"980070",20180,"4",1419371,"1",
"980070",20180,"5",1419371,"1",
"900000",12000,"1",1419372,"1",
"900000",12000,"2",1419372,"1",
"900000",12000,"3",1419372,"1",
"900000",12000,"4",1419372,"1",
"900000",12000,"5",1419372,"1",
"900150",4200,"1",1419372,"1",
"900150",4200,"2",1419372,"1",
"900150",4200,"3",1419372,"1",
"900150",4200,"4",1419372,"1",
"900150",4200,"5",1419372,"1",
"980000",16200,"1",1419372,"1",
"980000",16200,"2",1419372,"1",
"980000",16200,"3",1419372,"1",
"980000",16200,"4",1419372,"1",
"980000",16200,"5",1419372,"1",
"980070",20180,"1",1419372,"1",
"980070",20180,"2",1419372,"1",
"980070",20180,"3",1419372,"1",
"980070",20180,"4",1419372,"1",
"980070",20180,"5",1419372,"1",
"900000",101500,"1",1419401,"1",
"900000",101500,"2",1419401,"1",
"900000",101500,"3",1419401,"1",
"900000",101500,"4",1419401,"1",
"900000",101500,"5",1419401,"1",
"900030",8459,"1",1419401,"1",
"900030",8459,"2",1419401,"1",
"900030",8459,"3",1419401,"1",
"900030",8459,"4",1419401,"1",
"900030",8459,"5",1419401,"1",
"900180",280,"1",1419401,"1",
"900180",280,"2",1419401,"1",
"900180",280,"3",1419401,"1",
"900180",280,"4",1419401,"1",
"900180",280,"5",1419401,"1",
"980000",110239,"1",1419401,"1",
"980000",110239,"2",1419401,"1",
"980000",110239,"3",1419401,"1",
"980000",110239,"4",1419401,"1",
