"NEWID","UCC","AMOUNT","IMPNUM","PUB_FLAG","AMOUNT_"
"03152811","800940",11605,"1","1","T"
"03152811","800940",11605,"2","1","T"
"03152811","800940",11605,"3","1","T"
"03152811","800940",11605,"4","1","T"
"03152811","800940",11605,"5","1","T"
"03152811","900000",201776,"1","1","T"
"03152811","900000",201776,"2","1","T"
"03152811","900000",201776,"3","1","T"
"03152811","900000",201776,"4","1","T"
"03152811","900000",201776,"5","1","T"
"03152811","900160",2255,"1","1",
"03152811","900160",2037,"2","1",
"03152811","900160",2133,"3","1",
"03152811","900160",33118,"4","1",
"03152811","900160",20550,"5","1",
"03152811","980000",213795,"1","1","T"
"03152811","980000",213795,"2","1","T"
"03152811","980000",213795,"3","1","T"
"03152811","980000",213795,"4","1","T"
"03152811","980000",213795,"5","1","T"
"03152812","800940",3088,"1","1",
"03152812","800940",4410,"2","1",
"03152812","800940",3728,"3","1",
"03152812","800940",5242,"4","1",
"03152812","800940",3828,"5","1",
"03152812","900000",67130,"1","1",
"03152812","900000",70309,"2","1",
"03152812","900000",111849,"3","1",
"03152812","900000",129899,"4","1",
"03152812","900000",96620,"5","1",
"03152812","900160",4996,"1","1",
"03152812","900160",-4714,"2","1",
"03152812","900160",-1034,"3","1",
"03152812","900160",3776,"4","1",
"03152812","900160",2072,"5","1",
"03152812","980000",72126,"1","1",
"03152812","980000",65595,"2","1",
"03152812","980000",110815,"3","1",
"03152812","980000",133675,"4","1",
"03152812","980000",98692,"5","1",
"03152821","900030",2616,"1","1",
"03152821","900030",3528,"2","1",
"03152821","900030",16476,"3","1",
"03152821","900030",2496,"4","1",
"03152821","900030",17688,"5","1",
"03152821","980000",2616,"1","1",
"03152821","980000",3528,"2","1",
"03152821","980000",16476,"3","1",
"03152821","980000",2496,"4","1",
"03152821","980000",17688,"5","1",
"03152822","900030",17064,"1","1",
"03152822","900030",6576,"2","1",
"03152822","900030",12312,"3","1",
"03152822","900030",9900,"4","1",
"03152822","900030",15168,"5","1",
"03152822","900170",12242,"1","1",
"03152822","900170",257,"2","1",
"03152822","900170",14340,"3","1",
"03152822","900170",713,"4","1",
"03152822","900170",15074,"5","1",
"03152822","980000",29306,"1","1",
"03152822","980000",6833,"2","1",
"03152822","980000",26652,"3","1",
"03152822","980000",10613,"4","1",
"03152822","980000",30242,"5","1",
"03152841","900120",4800,"1","1",
"03152841","900120",4800,"2","1",
"03152841","900120",4800,"3","1",
"03152841","900120",4800,"4","1",
"03152841","900120",4800,"5","1",
"03152841","900150",28800,"1","1",
"03152841","900150",28800,"2","1",
"03152841","900150",28800,"3","1",
"03152841","900150",28800,"4","1",
"03152841","900150",28800,"5","1",
"03152841","900210",400,"1","1",
"03152841","900210",400,"2","1",
"03152841","900210",400,"3","1",
"03152841","900210",400,"4","1",
"03152841","900210",400,"5","1",
"03152841","980000",34000,"1","1",
"03152841","980000",34000,"2","1",
"03152841","980000",34000,"3","1",
"03152841","980000",34000,"4","1",
"03152841","980000",34000,"5","1",
"03152842","900120",4800,"1","1",
"03152842","900120",4800,"2","1",
"03152842","900120",4800,"3","1",
"03152842","900120",4800,"4","1",
"03152842","900120",4800,"5","1",
"03152842","900150",28800,"1","1",
"03152842","900150",28800,"2","1",
"03152842","900150",28800,"3","1",
"03152842","900150",28800,"4","1",
"03152842","900150",28800,"5","1",
"03152842","900210",400,"1","1",
"03152842","900210",400,"2","1",
"03152842","900210",400,"3","1",
"03152842","900210",400,"4","1",
"03152842","900210",400,"5","1",
"03152842","980000",34000,"1","1",
"03152842","980000",34000,"2","1",
"03152842","980000",34000,"3","1",
"03152842","980000",34000,"4","1",
"03152842","980000",34000,"5","1",
"03152851","900000",24000,"1","1",
"03152851","900000",24000,"2","1",
"03152851","900000",24000,"3","1",
"03152851","900000",24000,"4","1",
"03152851","900000",24000,"5","1",
"03152851","980000",24000,"1","1",
"03152851","980000",24000,"2","1",
"03152851","980000",24000,"3","1",
"03152851","980000",24000,"4","1",
"03152851","980000",24000,"5","1",
"03152852","900000",24000,"1","1",
"03152852","900000",24000,"2","1",
"03152852","900000",24000,"3","1",
"03152852","900000",24000,"4","1",
"03152852","900000",24000,"5","1",
"03152852","980000",24000,"1","1",
"03152852","980000",24000,"2","1",
"03152852","980000",24000,"3","1",
"03152852","980000",24000,"4","1",
"03152852","980000",24000,"5","1",
"03152861","800940",23210,"1","1","T"
"03152861","800940",23210,"2","1","T"
"03152861","800940",23210,"3","1","T"
"03152861","800940",23210,"4","1","T"
"03152861","800940",23210,"5","1","T"
"03152861","900000",377766,"1","1","T"
"03152861","900000",377766,"2","1","T"
"03152861","900000",377766,"3","1","T"
"03152861","900000",377766,"4","1","T"
"03152861","900000",377766,"5","1","T"
"03152861","900160",86337,"1","1",
"03152861","900160",42279,"2","1",
"03152861","900160",37563,"3","1",
"03152861","900160",41165,"4","1",
"03152861","900160",66523,"5","1",
"03152861","980000",432539,"1","1","T"
"03152861","980000",432539,"2","1","T"
"03152861","980000",432539,"3","1","T"
"03152861","980000",432539,"4","1","T"
"03152861","980000",432539,"5","1","T"
"03152862","800940",23210,"1","1","T"
"03152862","800940",23210,"2","1","T"
"03152862","800940",23210,"3","1","T"
"03152862","800940",23210,"4","1","T"
"03152862","800940",23210,"5","1","T"
"03152862","900000",377766,"1","1","T"
"03152862","900000",377766,"2","1","T"
"03152862","900000",377766,"3","1","T"
"03152862","900000",377766,"4","1","T"
"03152862","900000",377766,"5","1","T"
"03152862","900160",88432,"1","1",
"03152862","900160",6273,"2","1",
"03152862","900160",5390,"3","1",
"03152862","900160",25720,"4","1",
"03152862","900160",16337,"5","1",
"03152862","980000",406196,"1","1","T"
"03152862","980000",406196,"2","1","T"
"03152862","980000",406196,"3","1","T"
"03152862","980000",406196,"4","1","T"
"03152862","980000",406196,"5","1","T"
"03152871","900000",100000,"1","1",
"03152871","900000",100000,"2","1",
"03152871","900000",100000,"3","1",
"03152871","900000",100000,"4","1",
"03152871","900000",100000,"5","1",
"03152871","900180",4792,"1","1",
"03152871","900180",4363,"2","1",
"03152871","900180",4763,"3","1",
"03152871","900180",4847,"4","1",
"03152871","900180",4724,"5","1",
"03152871","980000",104792,"1","1",
"03152871","980000",104363,"2","1",
"03152871","980000",104763,"3","1",
"03152871","980000",104847,"4","1",
"03152871","980000",104724,"5","1",
"03152872","900000",100000,"1","1",
"03152872","900000",100000,"2","1",
"03152872","900000",100000,"3","1",
"03152872","900000",100000,"4","1",
"03152872","900000",100000,"5","1",
"03152872","900180",4398,"1","1",
"03152872","900180",4533,"2","1",
"03152872","900180",4157,"3","1",
"03152872","900180",4814,"4","1",
"03152872","900180",4709,"5","1",
"03152872","980000",104398,"1","1",
"03152872","980000",104533,"2","1",
"03152872","980000",104157,"3","1",
"03152872","980000",104814,"4","1",
"03152872","980000",104709,"5","1",
"03152921","900000",80000,"1","1",
"03152921","900000",80000,"2","1",
"03152921","900000",80000,"3","1",
"03152921","900000",80000,"4","1",
"03152921","900000",80000,"5","1",
"03152921","980000",80000,"1","1",
"03152921","980000",80000,"2","1",
"03152921","980000",80000,"3","1",
"03152921","980000",80000,"4","1",
"03152921","980000",80000,"5","1",
"03152922","900000",80000,"1","1",
"03152922","900000",80000,"2","1",
"03152922","900000",80000,"3","1",
"03152922","900000",80000,"4","1",
"03152922","900000",80000,"5","1",
"03152922","980000",80000,"1","1",
"03152922","980000",80000,"2","1",
"03152922","980000",80000,"3","1",
"03152922","980000",80000,"4","1",
"03152922","980000",80000,"5","1",
"03152931","900000",97996,"1","1",
"03152931","900000",100101,"2","1",
"03152931","900000",88193,"3","1",
"03152931","900000",87385,"4","1",
"03152931","900000",94977,"5","1",
"03152931","900140",18000,"1","1",
"03152931","900140",18000,"2","1",
"03152931","900140",18000,"3","1",
"03152931","900140",18000,"4","1",
"03152931","900140",18000,"5","1",
"03152931","900180",1,"1","1",
"03152931","900180",1,"2","1",
"03152931","900180",1,"3","1",
"03152931","900180",1,"4","1",
"03152931","900180",1,"5","1",
"03152931","980000",115997,"1","1",
"03152931","980000",118102,"2","1",
"03152931","980000",106194,"3","1",
"03152931","980000",105386,"4","1",
"03152931","980000",112978,"5","1",
"03152932","900000",96537,"1","1",
"03152932","900000",91646,"2","1",
"03152932","900000",86446,"3","1",
"03152932","900000",98109,"4","1",
"03152932","900000",98979,"5","1",
"03152932","900140",18000,"1","1",
"03152932","900140",18000,"2","1",
"03152932","900140",18000,"3","1",
"03152932","900140",18000,"4","1",
"03152932","900140",18000,"5","1",
"03152932","900180",1,"1","1",
"03152932","900180",1,"2","1",
"03152932","900180",1,"3","1",
"03152932","900180",1,"4","1",
"03152932","900180",1,"5","1",
"03152932","980000",114538,"1","1",
"03152932","980000",109647,"2","1",
"03152932","980000",104447,"3","1",
"03152932","980000",116110,"4","1",
"03152932","980000",116980,"5","1",
"03152941","900000",5800,"1","1",
"03152941","900000",5800,"2","1",
"03152941","900000",5800,"3","1",
"03152941","900000",5800,"4","1",
"03152941","900000",5800,"5","1",
"03152941","980000",5800,"1","1",
"03152941","980000",5800,"2","1",
"03152941","980000",5800,"3","1",
"03152941","980000",5800,"4","1",
"03152941","980000",5800,"5","1",
"03152942","900000",5800,"1","1",
"03152942","900000",5800,"2","1",
"03152942","900000",5800,"3","1",
"03152942","900000",5800,"4","1",
"03152942","900000",5800,"5","1",
"03152942","980000",5800,"1","1",
"03152942","980000",5800,"2","1",
"03152942","980000",5800,"3","1",
"03152942","980000",5800,"4","1",
"03152942","980000",5800,"5","1",
"03152951","900000",68236,"1","1",
"03152951","900000",67329,"2","1",
"03152951","900000",75372,"3","1",
"03152951","900000",70494,"4","1",
"03152951","900000",70272,"5","1",
"03152951","980000",68236,"1","1",
"03152951","980000",67329,"2","1",
"03152951","980000",75372,"3","1",
"03152951","980000",70494,"4","1",
"03152951","980000",70272,"5","1",
"03152952","900000",69356,"1","1",
"03152952","900000",74832,"2","1",
"03152952","900000",68186,"3","1",
"03152952","900000",68306,"4","1",
"03152952","900000",74395,"5","1",
"03152952","980000",69356,"1","1",
"03152952","980000",74832,"2","1",
"03152952","980000",68186,"3","1",
"03152952","980000",68306,"4","1",
"03152952","980000",74395,"5","1",
"03152961","900000",70208,"1","1",
"03152961","900000",73256,"2","1",
"03152961","900000",75164,"3","1",
"03152961","900000",75067,"4","1",
"03152961","900000",70923,"5","1",
"03152961","980000",70208,"1","1",
"03152961","980000",73256,"2","1",
"03152961","980000",75164,"3","1",
"03152961","980000",75067,"4","1",
"03152961","980000",70923,"5","1",
"03152962","900000",74844,"1","1",
"03152962","900000",74318,"2","1",
"03152962","900000",71099,"3","1",
"03152962","900000",71219,"4","1",
"03152962","900000",83261,"5","1",
"03152962","980000",74844,"1","1",
"03152962","980000",74318,"2","1",
"03152962","980000",71099,"3","1",
"03152962","980000",71219,"4","1",
"03152962","980000",83261,"5","1",
"03153001","900000",35000,"1","1",
"03153001","900000",35000,"2","1",
"03153001","900000",35000,"3","1",
"03153001","900000",35000,"4","1",
"03153001","900000",35000,"5","1",
"03153001","980000",35000,"1","1",
"03153001","980000",35000,"2","1",
"03153001","980000",35000,"3","1",
