"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
"03471331","900000",35000,,"1"
"03471331","900030",5782,,"1"
"03471331","980000",40782,,"1"
"03471331","980010",2,,"1"
"03471331","980020",67,,"1"
"03471331","980030",1,,"1"
"03471331","980040",2,,"1"
"03471331","980060",1,,"1"
"03471331","980090",100,,"1"
"03471331","980220",100,,"1"
"03471331","980230",100,,"1"
"03471331","980283",100,,"1"
"03471331","980286",100,,"1"
"03471331","980300",100,,"1"
"03471331","980330",100,,"1"
"03471332","900000",35000,,"1"
"03471332","900030",5782,,"1"
"03471332","980000",40782,,"1"
"03471332","980010",2,,"1"
"03471332","980020",67,,"1"
"03471332","980030",1,,"1"
"03471332","980040",2,,"1"
"03471332","980060",1,,"1"
"03471332","980090",100,,"1"
"03471332","980220",100,,"1"
"03471332","980230",100,,"1"
"03471332","980283",100,,"1"
"03471332","980286",100,,"1"
"03471332","980300",100,,"1"
"03471332","980330",100,,"1"
"03471351","900030",40916,,"1"
"03471351","900170",15000,,"1"
"03471351","980000",55916,,"1"
"03471351","980010",2,,"1"
"03471351","980020",67,,"1"
"03471351","980040",1,,"1"
"03471351","980060",2,,"1"
"03471351","980090",100,,"1"
"03471351","980220",100,,"1"
"03471351","980230",100,,"1"
"03471351","980270",100,,"1"
"03471351","980286",100,,"1"
"03471351","980300",100,,"1"
"03471351","980330",100,,"1"
"03471352","900030",40916,,"1"
"03471352","900170",15000,,"1"
"03471352","980000",55916,,"1"
"03471352","980010",2,,"1"
"03471352","980020",67,,"1"
"03471352","980040",1,,"1"
"03471352","980060",2,,"1"
"03471352","980090",100,,"1"
"03471352","980220",100,,"1"
"03471352","980230",100,,"1"
"03471352","980270",100,,"1"
"03471352","980286",100,,"1"
"03471352","980300",100,,"1"
"03471352","980330",100,,"1"
"03471381","900000",54491,,"1"
"03471381","980000",54491,,"1"
"03471381","980010",3,,"1"
"03471381","980020",21,,"1"
"03471381","980030",2,,"1"
"03471381","980040",2,,"1"
"03471381","980050",1,,"1"
"03471381","980220",100,,"1"
"03471381","980260",100,,"1"
"03471381","980281",100,,"1"
"03471381","980286",100,,"1"
"03471381","980300",100,,"1"
"03471381","980330",100,,"1"
"03471382","900000",43300,,"1"
"03471382","980000",43300,,"1"
"03471382","980010",3,,"1"
"03471382","980020",21,,"1"
"03471382","980030",2,,"1"
"03471382","980040",2,,"1"
"03471382","980050",1,,"1"
"03471382","980220",100,,"1"
"03471382","980260",100,,"1"
"03471382","980281",100,,"1"
"03471382","980286",100,,"1"
"03471382","980300",100,,"1"
"03471382","980330",100,,"1"
"03471391","800932",3960,,"1"
"03471391","900000",86358,,"1"
"03471391","900220",6000,,"1"
"03471391","980000",86358,,"1"
"03471391","980010",3,,"1"
"03471391","980020",53,,"1"
"03471391","980030",2,,"1"
"03471391","980040",3,,"1"
"03471391","980090",100,,"1"
"03471391","980220",100,,"1"
"03471391","980230",100,,"1"
"03471391","980281",100,,"1"
"03471391","980286",100,,"1"
"03471391","980310",100,,"1"
"03471391","980330",100,,"1"
"03471392","800932",3960,,"1"
"03471392","900000",87918,,"1"
"03471392","900220",6000,,"1"
"03471392","980000",87918,,"1"
"03471392","980010",3,,"1"
"03471392","980020",53,,"1"
"03471392","980030",2,,"1"
"03471392","980040",3,,"1"
"03471392","980090",100,,"1"
"03471392","980220",100,,"1"
"03471392","980230",100,,"1"
"03471392","980281",100,,"1"
"03471392","980286",100,,"1"
"03471392","980310",100,,"1"
"03471392","980330",100,,"1"
"03471411","900000",92770,,"1"
"03471411","980000",92770,,"1"
"03471411","980010",3,,"1"
"03471411","980020",54,,"1"
"03471411","980030",3,,"1"
"03471411","980090",100,,"1"
"03471411","980210",100,,"1"
"03471411","980250",100,,"1"
"03471411","980281",100,,"1"
"03471411","980286",100,,"1"
"03471411","980300",100,,"1"
"03471412","900000",82416,,"1"
"03471412","980000",82416,,"1"
"03471412","980010",3,,"1"
"03471412","980020",54,,"1"
"03471412","980030",3,,"1"
"03471412","980210",100,,"1"
"03471412","980260",100,,"1"
"03471412","980281",100,,"1"
"03471412","980286",100,,"1"
"03471412","980300",100,,"1"
"03471421","900000",32012,,"1"
"03471421","900030",15600,,"1"
"03471421","980000",47612,,"1"
"03471421","980010",2,,"1"
"03471421","980020",61,,"1"
"03471421","980030",1,,"1"
"03471421","980040",4,,"1"
"03471421","980090",100,,"1"
"03471421","980220",100,,"1"
"03471421","980230",100,,"1"
"03471421","980281",100,,"1"
"03471421","980286",100,,"1"
"03471421","980300",100,,"1"
"03471421","980330",100,,"1"
"03471422","900000",35821,,"1"
"03471422","900030",15600,,"1"
"03471422","980000",51421,,"1"
"03471422","980010",2,,"1"
"03471422","980020",61,,"1"
"03471422","980030",1,,"1"
"03471422","980040",4,,"1"
"03471422","980090",100,,"1"
"03471422","980220",100,,"1"
"03471422","980230",100,,"1"
"03471422","980281",100,,"1"
"03471422","980286",100,,"1"
"03471422","980300",100,,"1"
"03471422","980330",100,,"1"
"03471431","900030",11062,,"1"
"03471431","980000",11062,,"1"
"03471431","980010",1,,"1"
"03471431","980020",78,,"1"
"03471431","980060",1,,"1"
"03471431","980210",100,,"1"
"03471431","980260",100,,"1"
"03471431","980270",100,,"1"
"03471431","980286",100,,"1"
"03471431","980290",100,,"1"
"03471432","900030",11062,,"1"
"03471432","980000",11062,,"1"
"03471432","980010",1,,"1"
"03471432","980020",78,,"1"
"03471432","980060",1,,"1"
"03471432","980210",100,,"1"
"03471432","980260",100,,"1"
"03471432","980270",100,,"1"
"03471432","980286",100,,"1"
"03471432","980290",100,,"1"
"03471501","900000",67442,,"1"
"03471501","980000",67442,,"1"
"03471501","980010",6,,"1"
"03471501","980020",39,,"1"
"03471501","980030",1,,"1"
"03471501","980040",2,,"1"
"03471501","980050",4,,"1"
"03471501","980090",100,,"1"
"03471501","980220",100,,"1"
"03471501","980230",100,,"1"
"03471501","980281",100,,"1"
"03471501","980286",100,,"1"
"03471501","980310",100,,"1"
"03471501","980330",100,,"1"
"03471502","900000",90515,,"1"
"03471502","980000",90515,,"1"
"03471502","980010",6,,"1"
"03471502","980020",39,,"1"
"03471502","980030",1,,"1"
"03471502","980040",2,,"1"
"03471502","980050",4,,"1"
"03471502","980090",100,,"1"
"03471502","980220",100,,"1"
"03471502","980230",100,,"1"
"03471502","980281",100,,"1"
"03471502","980286",100,,"1"
"03471502","980310",100,,"1"
"03471502","980330",100,,"1"
"03471511","800910",1154,,"1"
"03471511","800932",104,,"1"
"03471511","900000",90300,,"1"
"03471511","900210",276,,"1"
"03471511","980000",90576,,"1"
"03471511","980010",2,,"1"
"03471511","980020",52,,"1"
"03471511","980030",2,,"1"
"03471511","980040",2,,"1"
"03471511","980090",100,,"1"
"03471511","980210",100,,"1"
"03471511","980230",100,,"1"
"03471511","980281",100,,"1"
"03471511","980286",100,,"1"
"03471511","980300",100,,"1"
"03471511","980330",100,,"1"
"03471512","800910",1154,,"1"
"03471512","800932",104,,"1"
"03471512","900000",90300,,"1"
"03471512","900210",276,,"1"
"03471512","980000",90576,,"1"
"03471512","980010",2,,"1"
"03471512","980020",52,,"1"
"03471512","980030",2,,"1"
"03471512","980040",2,,"1"
"03471512","980090",100,,"1"
"03471512","980210",100,,"1"
"03471512","980230",100,,"1"
"03471512","980281",100,,"1"
"03471512","980286",100,,"1"
"03471512","980300",100,,"1"
"03471512","980330",100,,"1"
"03471521","900000",75000,,"1"
"03471521","980000",75000,,"1"
"03471521","980010",1,,"1"
"03471521","980020",36,,"1"
"03471521","980030",1,,"1"
"03471521","980040",1,,"1"
"03471521","980220",100,,"1"
"03471521","980260",100,,"1"
"03471521","980270",100,,"1"
"03471521","980286",100,,"1"
"03471521","980310",100,,"1"
"03471521","980330",100,,"1"
"03471522","900000",75000,,"1"
"03471522","980000",75000,,"1"
"03471522","980010",1,,"1"
