NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
03786951,900000,42000,,1
03786951,900150,3386,,1
03786951,980000,45386,,1
03786951,980010,3,,1
03786951,980020,42,,1
03786951,980030,1,,1
03786951,980040,1,,1
03786951,980090,100,,1
03786951,980210,100,,1
03786951,980230,100,,1
03786951,980281,100,,1
03786951,980285,100,,1
03786951,980300,100,,1
03786951,980330,100,,1
03786952,900000,42000,,1
03786952,900150,5239,,1
03786952,980000,47239,,1
03786952,980010,3,,1
03786952,980020,42,,1
03786952,980030,1,,1
03786952,980040,1,,1
03786952,980090,100,,1
03786952,980210,100,,1
03786952,980230,100,,1
03786952,980281,100,,1
03786952,980285,100,,1
03786952,980300,100,,1
03786952,980330,100,,1
03786971,900000,12855,,1
03786971,900140,735,,1
03786971,900150,2400,,1
03786971,980000,15990,,1
03786971,980010,4,,1
03786971,980020,41,,1
03786971,980030,1,,1
03786971,980050,2,,1
03786971,980090,100,,1
03786971,980210,100,,1
03786971,980240,100,,1
03786971,980281,100,,1
03786971,980285,100,,1
03786971,980300,100,,1
03786981,800932,1200,,1
03786981,900000,85000,,1
03786981,980000,85000,,1
03786981,980010,4,,1
03786981,980020,34,,1
03786981,980030,2,,1
03786981,980040,1,,1
03786981,980050,2,,1
03786981,980090,100,,1
03786981,980210,100,,1
03786981,980230,100,,1
03786981,980281,100,,1
03786981,980286,100,,1
03786981,980300,100,,1
03786981,980330,100,,1
03786982,800932,1200,,1
03786982,900000,85000,,1
03786982,980000,85000,,1
03786982,980010,4,,1
03786982,980020,34,,1
03786982,980030,2,,1
03786982,980040,1,,1
03786982,980050,2,,1
03786982,980090,100,,1
03786982,980210,100,,1
03786982,980230,100,,1
03786982,980281,100,,1
03786982,980286,100,,1
03786982,980300,100,,1
03786982,980330,100,,1
03786991,900000,32666,,1
03786991,980000,32666,,1
03786991,980010,2,,1
03786991,980020,51,,1
03786991,980030,1,,1
03786991,980040,2,,1
03786991,980220,100,,1
03786991,980260,100,,1
03786991,980281,100,,1
03786991,980286,100,,1
03786991,980310,100,,1
03786991,980330,100,,1
03786992,900000,26010,,1
03786992,980000,26010,,1
03786992,980010,2,,1
03786992,980020,51,,1
03786992,980030,1,,1
03786992,980040,2,,1
03786992,980220,100,,1
03786992,980260,100,,1
03786992,980281,100,,1
03786992,980286,100,,1
03786992,980310,100,,1
03786992,980330,100,,1
03787001,900000,17953,,1
03787001,980000,17953,,1
03787001,980010,3,,1
03787001,980020,35,,1
03787001,980030,1,,1
03787001,980040,1,,1
03787001,980050,2,,1
03787001,980220,100,,1
03787001,980260,100,,1
