NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
03786951,900000,42000,1,1,
03786951,900000,42000,2,1,
03786951,900000,42000,3,1,
03786951,900000,42000,4,1,
03786951,900000,42000,5,1,
03786951,900150,2544,1,1,
03786951,900150,3804,2,1,
03786951,900150,4572,3,1,
03786951,900150,2388,4,1,
03786951,900150,3624,5,1,
03786951,980000,44544,1,1,
03786951,980000,45804,2,1,
03786951,980000,46572,3,1,
03786951,980000,44388,4,1,
03786951,980000,45624,5,1,
03786952,900000,42000,1,1,
03786952,900000,42000,2,1,
03786952,900000,42000,3,1,
03786952,900000,42000,4,1,
03786952,900000,42000,5,1,
03786952,900150,2760,1,1,
03786952,900150,6756,2,1,
03786952,900150,4416,3,1,
03786952,900150,6768,4,1,
03786952,900150,5496,5,1,
03786952,980000,44760,1,1,
03786952,980000,48756,2,1,
03786952,980000,46416,3,1,
03786952,980000,48768,4,1,
03786952,980000,47496,5,1,
03786971,900000,12353,1,1,
03786971,900000,14730,2,1,
03786971,900000,13426,3,1,
03786971,900000,12977,4,1,
03786971,900000,10789,5,1,
03786971,900140,735,1,1,
03786971,900140,735,2,1,
03786971,900140,735,3,1,
03786971,900140,735,4,1,
03786971,900140,735,5,1,
03786971,900150,2400,1,1,
03786971,900150,2400,2,1,
03786971,900150,2400,3,1,
03786971,900150,2400,4,1,
03786971,900150,2400,5,1,
03786971,980000,15488,1,1,
03786971,980000,17865,2,1,
03786971,980000,16561,3,1,
03786971,980000,16112,4,1,
03786971,980000,13924,5,1,
03786981,900000,85000,1,1,
03786981,900000,85000,2,1,
03786981,900000,85000,3,1,
03786981,900000,85000,4,1,
03786981,900000,85000,5,1,
03786981,980000,85000,1,1,
03786981,980000,85000,2,1,
03786981,980000,85000,3,1,
03786981,980000,85000,4,1,
03786981,980000,85000,5,1,
03786982,900000,85000,1,1,
03786982,900000,85000,2,1,
03786982,900000,85000,3,1,
03786982,900000,85000,4,1,
03786982,900000,85000,5,1,
03786982,980000,85000,1,1,
03786982,980000,85000,2,1,
03786982,980000,85000,3,1,
03786982,980000,85000,4,1,
03786982,980000,85000,5,1,
03786991,900000,84853,1,1,
03786991,900000,15604,2,1,
03786991,900000,20703,3,1,
03786991,900000,32687,4,1,
03786991,900000,9482,5,1,
03786991,980000,84853,1,1,
03786991,980000,15604,2,1,
03786991,980000,20703,3,1,
03786991,980000,32687,4,1,
03786991,980000,9482,5,1,
03786992,900000,43744,1,1,
03786992,900000,25587,2,1,
03786992,900000,2069,3,1,
03786992,900000,27647,4,1,
03786992,900000,31003,5,1,
03786992,980000,43744,1,1,
03786992,980000,25587,2,1,
03786992,980000,2069,3,1,
03786992,980000,27647,4,1,
03786992,980000,31003,5,1,
03787001,900000,43548,1,1,
03787001,900000,8403,2,1,
03787001,900000,8569,3,1,
03787001,900000,25000,4,1,
03787001,900000,4245,5,1,
03787001,980000,43548,1,1,
03787001,980000,8403,2,1,
03787001,980000,8569,3,1,
03787001,980000,25000,4,1,
03787001,980000,4245,5,1,
03787002,900000,75578,1,1,
03787002,900000,15601,2,1,
03787002,900000,41474,3,1,
03787002,900000,42315,4,1,
03787002,900000,19200,5,1,
03787002,980000,75578,1,1,
03787002,980000,15601,2,1,
03787002,980000,41474,3,1,
03787002,980000,42315,4,1,
03787002,980000,19200,5,1,
03787011,900000,57500,1,1,
03787011,900000,57500,2,1,
03787011,900000,57500,3,1,
03787011,900000,57500,4,1,
03787011,900000,57500,5,1,
03787011,900180,5,1,1,
03787011,900180,5,2,1,
03787011,900180,5,3,1,
03787011,900180,5,4,1,
03787011,900180,5,5,1,
03787011,980000,57505,1,1,
03787011,980000,57505,2,1,
03787011,980000,57505,3,1,
03787011,980000,57505,4,1,
03787011,980000,57505,5,1,
03787012,900000,57500,1,1,
03787012,900000,57500,2,1,
03787012,900000,57500,3,1,
03787012,900000,57500,4,1,
03787012,900000,57500,5,1,
03787012,900180,5,1,1,
03787012,900180,5,2,1,
03787012,900180,5,3,1,
03787012,900180,5,4,1,
03787012,900180,5,5,1,
03787012,980000,57505,1,1,
03787012,980000,57505,2,1,
03787012,980000,57505,3,1,
03787012,980000,57505,4,1,
03787012,980000,57505,5,1,
03787031,900000,153000,1,1,
03787031,900000,153000,2,1,
03787031,900000,153000,3,1,
03787031,900000,153000,4,1,
03787031,900000,153000,5,1,
03787031,900180,10,1,1,
03787031,900180,10,2,1,
03787031,900180,10,3,1,
03787031,900180,10,4,1,
03787031,900180,10,5,1,
03787031,980000,153010,1,1,
03787031,980000,153010,2,1,
03787031,980000,153010,3,1,
03787031,980000,153010,4,1,
03787031,980000,153010,5,1,
03787032,900000,153000,1,1,
03787032,900000,153000,2,1,
03787032,900000,153000,3,1,
03787032,900000,153000,4,1,
03787032,900000,153000,5,1,
03787032,900180,10,1,1,
03787032,900180,10,2,1,
03787032,900180,10,3,1,
03787032,900180,10,4,1,
03787032,900180,10,5,1,
03787032,980000,153010,1,1,
03787032,980000,153010,2,1,
03787032,980000,153010,3,1,
03787032,980000,153010,4,1,
03787032,980000,153010,5,1,
03787041,900000,34594,1,1,
03787041,900000,37387,2,1,
03787041,900000,37868,3,1,
03787041,900000,33608,4,1,
03787041,900000,34152,5,1,
03787041,900090,10272,1,1,
03787041,900090,10272,2,1,
03787041,900090,10272,3,1,
03787041,900090,10272,4,1,
03787041,900090,10272,5,1,
03787041,900150,243,1,1,
03787041,900150,243,2,1,
03787041,900150,243,3,1,
03787041,900150,243,4,1,
03787041,900150,243,5,1,
03787041,980000,45109,1,1,
03787041,980000,47902,2,1,
03787041,980000,48383,3,1,
03787041,980000,44123,4,1,
03787041,980000,44667,5,1,
03787042,900000,34685,1,1,
03787042,900000,34424,2,1,
03787042,900000,37598,3,1,
03787042,900000,32047,4,1,
03787042,900000,39781,5,1,
03787042,900090,10272,1,1,
03787042,900090,10272,2,1,
03787042,900090,10272,3,1,
03787042,900090,10272,4,1,
03787042,900090,10272,5,1,
