NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
03723761,900000,70000,1,1,
03723761,900000,70000,2,1,
03723761,900000,70000,3,1,
03723761,900000,70000,4,1,
03723761,900000,70000,5,1,
03723761,900140,3909,1,1,
03723761,900140,15352,2,1,
03723761,900140,879,3,1,
03723761,900140,24423,4,1,
03723761,900140,3159,5,1,
03723761,900160,141950,1,1,
03723761,900160,33857,2,1,
03723761,900160,1040,3,1,
03723761,900160,5311,4,1,
03723761,900160,42660,5,1,
03723761,980000,215859,1,1,
03723761,980000,119209,2,1,
03723761,980000,71919,3,1,
03723761,980000,99734,4,1,
03723761,980000,115819,5,1,
03723762,900000,70000,1,1,
03723762,900000,70000,2,1,
03723762,900000,70000,3,1,
03723762,900000,70000,4,1,
03723762,900000,70000,5,1,
03723762,900140,4780,1,1,
03723762,900140,4255,2,1,
03723762,900140,842,3,1,
03723762,900140,6670,4,1,
03723762,900140,459,5,1,
03723762,900160,2062,1,1,
03723762,900160,1017,2,1,
03723762,900160,50021,3,1,
03723762,900160,48110,4,1,
03723762,900160,30543,5,1,
03723762,980000,76842,1,1,
03723762,980000,75272,2,1,
03723762,980000,120863,3,1,
03723762,980000,124780,4,1,
03723762,980000,101002,5,1,
03723771,900000,25200,1,1,
03723771,900000,25200,2,1,
03723771,900000,25200,3,1,
03723771,900000,25200,4,1,
03723771,900000,25200,5,1,
03723771,900150,2052,1,1,
03723771,900150,2052,2,1,
03723771,900150,2052,3,1,
03723771,900150,2052,4,1,
03723771,900150,2052,5,1,
03723771,980000,27252,1,1,
03723771,980000,27252,2,1,
03723771,980000,27252,3,1,
03723771,980000,27252,4,1,
03723771,980000,27252,5,1,
03723772,900000,25200,1,1,
03723772,900000,25200,2,1,
03723772,900000,25200,3,1,
03723772,900000,25200,4,1,
03723772,900000,25200,5,1,
03723772,900150,2052,1,1,
03723772,900150,2052,2,1,
03723772,900150,2052,3,1,
03723772,900150,2052,4,1,
03723772,900150,2052,5,1,
03723772,980000,27252,1,1,
03723772,980000,27252,2,1,
03723772,980000,27252,3,1,
03723772,980000,27252,4,1,
03723772,980000,27252,5,1,
03723781,900000,108000,1,1,
03723781,900000,108000,2,1,
03723781,900000,108000,3,1,
03723781,900000,108000,4,1,
03723781,900000,108000,5,1,
03723781,980000,108000,1,1,
03723781,980000,108000,2,1,
03723781,980000,108000,3,1,
