"NEWID","UCC","AMOUNT","IMPNUM","PUB_FLAG","AMOUNT_"
"04299611","800940","2708","1","1",""
"04299611","800940","2708","2","1",""
"04299611","800940","2708","3","1",""
"04299611","800940","2708","4","1",""
"04299611","800940","2708","5","1",""
"04299611","900000","35000","1","1",""
"04299611","900000","35000","2","1",""
"04299611","900000","35000","3","1",""
"04299611","900000","35000","4","1",""
"04299611","900000","35000","5","1",""
"04299611","900160","200","1","1",""
"04299611","900160","200","2","1",""
"04299611","900160","200","3","1",""
"04299611","900160","200","4","1",""
"04299611","900160","200","5","1",""
"04299611","980000","35200","1","1",""
"04299611","980000","35200","2","1",""
"04299611","980000","35200","3","1",""
"04299611","980000","35200","4","1",""
"04299611","980000","35200","5","1",""
"04299612","800940","2708","1","1",""
"04299612","800940","2708","2","1",""
"04299612","800940","2708","3","1",""
"04299612","800940","2708","4","1",""
"04299612","800940","2708","5","1",""
"04299612","900000","35000","1","1",""
"04299612","900000","35000","2","1",""
"04299612","900000","35000","3","1",""
"04299612","900000","35000","4","1",""
"04299612","900000","35000","5","1",""
"04299612","900160","200","1","1",""
"04299612","900160","200","2","1",""
"04299612","900160","200","3","1",""
"04299612","900160","200","4","1",""
"04299612","900160","200","5","1",""
"04299612","980000","35200","1","1",""
"04299612","980000","35200","2","1",""
"04299612","980000","35200","3","1",""
"04299612","980000","35200","4","1",""
"04299612","980000","35200","5","1",""
"04299631","900030","6570","1","1",""
"04299631","900030","2766","2","1",""
"04299631","900030","4410","3","1",""
"04299631","900030","4098","4","1",""
"04299631","900030","4674","5","1",""
"04299631","900210","27500","1","1",""
"04299631","900210","27500","2","1",""
"04299631","900210","27500","3","1",""
"04299631","900210","27500","4","1",""
"04299631","900210","27500","5","1",""
"04299631","980000","34070","1","1",""
"04299631","980000","30266","2","1",""
"04299631","980000","31910","3","1",""
"04299631","980000","31598","4","1",""
"04299631","980000","32174","5","1",""
"04299632","900030","5646","1","1",""
"04299632","900030","6066","2","1",""
"04299632","900030","6186","3","1",""
"04299632","900030","5970","4","1",""
"04299632","900030","3546","5","1",""
"04299632","900210","27500","1","1",""
"04299632","900210","27500","2","1",""
"04299632","900210","27500","3","1",""
"04299632","900210","27500","4","1",""
"04299632","900210","27500","5","1",""
"04299632","980000","33146","1","1",""
"04299632","980000","33566","2","1",""
"04299632","980000","33686","3","1",""
"04299632","980000","33470","4","1",""
"04299632","980000","31046","5","1",""
"04299671","900000","30000","1","1",""
"04299671","900000","30000","2","1",""
"04299671","900000","30000","3","1",""
"04299671","900000","30000","4","1",""
"04299671","900000","30000","5","1",""
"04299671","900150","6000","1","1",""
"04299671","900150","6000","2","1",""
"04299671","900150","6000","3","1",""
"04299671","900150","6000","4","1",""
"04299671","900150","6000","5","1",""
"04299671","980000","36000","1","1",""
"04299671","980000","36000","2","1",""
"04299671","980000","36000","3","1",""
"04299671","980000","36000","4","1",""
"04299671","980000","36000","5","1",""
"04299672","900000","30000","1","1",""
"04299672","900000","30000","2","1",""
"04299672","900000","30000","3","1",""
"04299672","900000","30000","4","1",""
"04299672","900000","30000","5","1",""
"04299672","900150","6000","1","1",""
"04299672","900150","6000","2","1",""
"04299672","900150","6000","3","1",""
