NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
04472721,900000,17000,,1
04472721,980000,17000,,1
04472721,980010,1,,1
04472721,980020,56,,1
04472721,980030,1,,1
04472721,980040,1,,1
04472721,980090,100,,1
04472721,980210,100,,1
04472721,980240,100,,1
04472721,980281,100,,1
04472721,980286,100,,1
04472721,980310,100,,1
04472721,980330,100,,1
04472722,900000,17000,,1
04472722,980000,17000,,1
04472722,980010,1,,1
04472722,980020,56,,1
04472722,980030,1,,1
04472722,980040,1,,1
04472722,980090,100,,1
04472722,980210,100,,1
04472722,980240,100,,1
04472722,980281,100,,1
04472722,980286,100,,1
04472722,980310,100,,1
04472722,980330,100,,1
04472741,900030,22190,,1
04472741,900180,67142,T,1
04472741,900190,18000,,1
04472741,980000,107332,T,1
04472741,980010,2,,1
04472741,980020,87,T,1
04472741,980040,1,,1
04472741,980060,2,,1
04472741,980090,100,,1
04472741,980210,100,,1
04472741,980240,100,,1
04472741,980281,100,,1
04472741,980286,100,,1
04472741,980310,100,,1
04472741,980330,100,,1
04472742,900030,22190,,1
04472742,900180,67142,T,1
04472742,900190,18000,,1
04472742,980000,107332,T,1
04472742,980010,2,,1
04472742,980020,87,T,1
04472742,980040,1,,1
04472742,980060,2,,1
04472742,980090,100,,1
04472742,980210,100,,1
04472742,980240,100,,1
04472742,980281,100,,1
04472742,980286,100,,1
04472742,980310,100,,1
04472742,980330,100,,1
04472771,900030,19032,,1
04472771,900170,12000,,1
04472771,900180,3937,,1
04472771,980000,34969,,1
04472771,980010,1,,1
04472771,980020,76,,1
04472771,980040,1,,1
04472771,980060,1,,1
04472771,980090,100,,1
04472771,980220,100,,1
04472771,980240,100,,1
04472771,980281,100,,1
04472771,980286,100,,1
04472771,980310,100,,1
04472771,980330,100,,1
04472772,900030,19032,,1
04472772,900170,12000,,1
04472772,900180,478,,1
04472772,980000,31510,,1
04472772,980010,1,,1
04472772,980020,76,,1
04472772,980040,1,,1
04472772,980060,1,,1
04472772,980090,100,,1
04472772,980220,100,,1
04472772,980240,100,,1
04472772,980281,100,,1
04472772,980286,100,,1
04472772,980310,100,,1
04472772,980330,100,,1
04472831,900030,18552,,1
04472831,980000,18552,,1
04472831,980010,1,,1
04472831,980020,81,,1
04472831,980060,1,,1
04472831,980210,100,,1
04472831,980260,100,,1
04472831,980270,100,,1
04472831,980286,100,,1
04472831,980300,100,,1
04472832,900030,15367,,1
04472832,980000,15367,,1
04472832,980010,1,,1
04472832,980020,81,,1
04472832,980060,1,,1
04472832,980210,100,,1
04472832,980260,100,,1
04472832,980270,100,,1
04472832,980286,100,,1
04472832,980300,100,,1
04472911,900000,118000,,1
04472911,900190,-300,,1
04472911,980000,117700,,1
04472911,980010,2,,1
04472911,980020,40,,1
04472911,980030,2,,1
04472911,980040,2,,1
04472911,980220,100,,1
04472911,980260,100,,1
04472911,980283,100,,1
04472911,980285,100,,1
04472911,980310,100,,1
04472911,980330,100,,1
04472912,900000,118000,,1
04472912,900190,-300,,1
04472912,980000,117700,,1
04472912,980010,2,,1
04472912,980020,40,,1
04472912,980030,2,,1
04472912,980040,2,,1
04472912,980220,100,,1
04472912,980260,100,,1
04472912,980283,100,,1
04472912,980285,100,,1
04472912,980310,100,,1
04472912,980330,100,,1
04473041,900000,228124,T,1
04473041,980000,228124,T,1
04473041,980010,1,,1
04473041,980020,45,,1
04473041,980030,1,,1
04473041,980040,1,,1
04473041,980210,100,,1
04473041,980260,100,,1
04473041,980281,100,,1
04473041,980286,100,,1
04473041,980310,100,,1
04473041,980330,100,,1
04473042,900000,228124,T,1
04473042,980000,228124,T,1
04473042,980010,1,,1
04473042,980020,45,,1
04473042,980030,1,,1
04473042,980040,1,,1
04473042,980210,100,,1
04473042,980260,100,,1
04473042,980281,100,,1
04473042,980286,100,,1
04473042,980310,100,,1
04473042,980330,100,,1
04473101,900000,134026,,1
04473101,980000,134026,,1
04473101,980010,5,,1
04473101,980020,60,,1
04473101,980030,4,,1
04473101,980040,2,,1
04473101,980060,1,,1
04473101,980220,100,,1
04473101,980260,100,,1
04473101,980281,100,,1
04473101,980286,100,,1
04473101,980300,100,,1
04473101,980330,100,,1
04473102,900000,91808,,1
04473102,980000,91808,,1
04473102,980010,5,,1
