NEWID,ALLOC,COST,GIFT,PUB_FLAG,UCC,EXPNSQDY,EXPN_QDY,EXPNWKDY,EXPN_KDY,EXPNMO,EXPNMO_,EXPNYR,EXPNYR_
04472721,0,4.89000,2,2,020310,6,D,4,D,04,D,2020,D
04472721,1,2.32642,2,2,030510,6,D,4,D,04,D,2020,D
04472721,1,2.23134,2,2,030610,6,D,4,D,04,D,2020,D
04472721,1,1.98224,2,2,030710,6,D,4,D,04,D,2020,D
04472721,1,10.85174,2,2,060110,6,D,4,D,04,D,2020,D
04472721,1,9.12826,2,2,060210,6,D,4,D,04,D,2020,D
04472721,0,3.49000,2,2,090110,6,D,4,D,04,D,2020,D
04472721,0,3.39000,2,2,090210,6,D,4,D,04,D,2020,D
04472721,0,4.69000,2,2,100110,6,D,4,D,04,D,2020,D
04472721,0,4.20000,2,2,140110,6,D,4,D,04,D,2020,D
04472721,0,3.00000,2,2,140110,6,D,4,D,04,D,2020,D
04472721,0,2.99000,2,2,150211,6,D,4,D,04,D,2020,D
04472721,0,2.55000,2,2,150310,6,D,4,D,04,D,2020,D
04472721,0,5.64000,2,2,170110,6,D,4,D,04,D,2020,D
04472721,0,5.64000,2,2,170110,6,D,4,D,04,D,2020,D
04472721,1,6.73593,2,2,170310,6,D,4,D,04,D,2020,D
04472721,1,6.25407,2,2,170410,6,D,4,D,04,D,2020,D
04472721,0,4.99000,2,2,180210,6,D,4,D,04,D,2020,D
04472721,0,7.99000,2,2,180210,6,D,4,D,04,D,2020,D
04472721,0,5.00000,2,2,180310,6,D,4,D,04,D,2020,D
04472721,0,43.34000,2,1,260110,5,D,3,D,04,D,2020,D
04472721,0,9.55000,2,2,320905,7,D,5,D,04,D,2020,D
04472721,0,3.99000,2,2,330210,7,D,5,D,04,D,2020,D
04472721,0,3.99000,2,2,330210,7,D,5,D,04,D,2020,D
04472721,0,23.42000,2,2,330510,7,D,5,D,04,D,2020,D
04472721,0,30.18000,2,1,470111,3,D,1,D,04,D,2020,D
04472721,0,55.98000,2,1,470111,5,D,3,D,04,D,2020,D
04472721,0,29.32000,2,1,470111,7,D,5,D,04,D,2020,D
04472721,0,3.19000,2,1,480213,5,D,3,D,04,D,2020,D
04472721,0,21.30000,2,1,480213,5,D,3,D,04,D,2020,D
04472721,0,20.99000,2,2,550210,6,D,4,D,04,D,2020,D
04472722,0,29.86000,2,1,470111,4,D,2,D,04,D,2020,D
04472722,0,27.28000,2,1,470111,7,D,5,D,04,D,2020,D
04472722,0,47.46000,2,1,470211,2,D,7,D,04,D,2020,D
04472741,0,400.00000,2,1,004000,7,D,3,D,04,D,2020,D
04472741,0,3.99000,2,2,010120,1,D,4,D,04,D,2020,D
04472741,0,3.49000,2,2,020210,2,D,5,D,04,D,2020,D
04472741,0,3.49000,2,2,020210,4,D,7,D,04,D,2020,D
04472741,0,6.99000,2,2,020810,5,D,1,D,04,D,2020,D
04472741,1,2.71565,2,2,060110,7,D,3,D,04,D,2020,D
04472741,1,2.28435,2,2,060210,7,D,3,D,04,D,2020,D
04472741,0,1.10000,2,2,090110,5,D,1,D,04,D,2020,D
04472741,0,6.02000,2,2,090110,5,D,1,D,04,D,2020,D
04472741,0,1.14000,2,2,110210,2,D,5,D,04,D,2020,D
04472741,0,2.00000,2,2,110310,5,D,1,D,04,D,2020,D
04472741,0,2.20000,2,2,110310,7,D,3,D,04,D,2020,D
04472741,0,2.99000,2,2,120410,5,D,1,D,04,D,2020,D
04472741,0,14.00000,2,2,150110,2,D,5,D,04,D,2020,D
04472741,0,2.99000,2,2,150310,1,D,4,D,04,D,2020,D
04472741,0,6.93000,2,2,170110,4,D,7,D,04,D,2020,D
04472741,0,1.25000,2,2,180320,5,D,1,D,04,D,2020,D
04472741,0,2.96000,2,2,180611,4,D,7,D,04,D,2020,D
04472741,0,4.39000,2,2,180611,5,D,1,D,04,D,2020,D
04472741,0,4.39000,2,2,180611,5,D,1,D,04,D,2020,D
04472741,0,7.33000,2,2,180611,6,D,2,D,04,D,2020,D
04472741,0,3.67000,2,2,180611,6,D,2,D,04,D,2020,D
04472741,0,12.40000,2,2,180710,7,D,3,D,04,D,2020,D
04472741,0,12.95000,2,2,180710,7,D,3,D,04,D,2020,D
04472741,0,10.99000,2,2,190212,1,D,4,D,04,D,2020,D
04472741,1,10.99000,2,2,190322,2,D,5,D,04,D,2020,D
04472741,0,15.85000,2,2,200310,7,D,3,D,04,D,2020,D
04472741,0,0.55000,2,1,320610,4,D,7,D,04,D,2020,D
04472741,0,2.60000,2,1,320610,4,D,7,D,04,D,2020,D
04472741,0,14.26000,2,2,360420,4,D,7,D,04,D,2020,D
04472741,0,32.05000,2,1,470111,1,D,4,D,04,D,2020,D
04472741,0,7.00000,2,1,540000,2,D,5,D,04,D,2020,D
04472741,0,21.14000,2,2,610110,4,D,7,D,04,D,2020,D
04472741,0,4.95000,2,2,610110,4,D,7,D,04,D,2020,D
04472741,0,13.87000,2,2,610110,4,D,7,D,04,D,2020,D
