INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,HISP_REF,HISP2
0.9300575,0.9294470,0.9284841,0.9147086,0.9374611,0.9288634,0.9163926,04850121,54,D,52,D,1,1,D,01,D,3,D,16,D,15,D,1,D,4,D,3,D,4,D,0,D,187000,D,35632.545,0,D,14842,D,0,D,,A,0,D,,A,0,D,0,D,180000,D,60,D,40,D,0,D,1304,D,300,D,1739,D,400,D,,A,1,,3,D,,A,02,D,,A,0,D,0,D,0,D,03,D,1,2,,2,D,2,D,3,1,D,2,,1,07,2021,1,D,4,D,1,D,2,,A,,A,,A,52,D,52,D,72824.839,145001.465,58536.125,,,,,,67112.416,,,,122308.930,78262.712,,93206.922,,52340.541,82811.869,,,68978.892,,,85339.483,,51621.569,,,83816.240,102902.880,33221.035,,93595.902,67095.340,33221.035,132324.659,76482.548,,,,98310.294,,58005.185,346.11997,234.11997,17.79004,23.63953,0.00000,6.35475,6.89206,18.89480,0.00000,0.00000,9.30735,13.86029,17.29724,19.47057,4.86065,14.11629,0.00000,24.94177,11.81414,44.88049,112.00000,0.00000,0.00000,35.31000,0.00000,0.00000,0.00000,0.00000,1,D,,A,7,D,13,D,485012,,A,,A,0,D,233331.0,D,236380,250978,211932,234577,232788,402,10634.0,D,10634,10634,10634,10634,10634,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,226331.0,D,229380,243978,204932,227577,225788,402,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35C,16,7000,D,7000,7000,7000,7000,7000,100,7000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,4,2,2
0.9264076,0.9395794,0.9282173,0.9178239,0.9243223,0.9128929,0.9166593,04850122,54,D,52,D,1,1,D,01,D,3,D,16,D,15,D,1,D,4,D,3,D,4,D,0,D,187000,D,35632.545,0,D,14842,D,0,D,,A,0,D,,A,0,D,0,D,180000,D,60,D,40,D,0,D,1304,D,300,D,1739,D,400,D,,A,1,,3,D,,A,02,D,,A,0,D,0,D,0,D,03,D,1,2,,2,D,2,D,3,1,D,2,,1,07,2021,1,D,4,D,2,D,2,,A,,A,,A,52,D,52,D,72824.839,145001.465,58536.125,,,,,,67112.416,,,,122308.930,78262.712,,93206.922,,52340.541,82811.869,,,68978.892,,,85339.483,,51621.569,,,83816.240,102902.880,33221.035,,93595.902,67095.340,33221.035,132324.659,76482.548,,,,98310.294,,58005.185,245.80001,123.80001,0.00000,9.70920,7.12786,14.47270,6.51550,0.00000,0.00000,0.00000,0.00000,3.94239,3.71952,0.00000,5.41461,6.46637,0.00000,4.63186,0.00000,61.80000,122.00000,0.00000,0.00000,0.00000,24.61000,27.82000,0.00000,0.00000,1,D,,A,7,D,13,D,485012,,A,,A,0,D,227513.2,D,205607,227139,218505,233103,253212,402,10634.0,D,10634,10634,10634,10634,10634,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,220513.2,D,198607,220139,211505,226103,246212,402,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S35C,16,7000,D,7000,7000,7000,7000,7000,100,7000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,4,2,2
0.5100942,0.5198380,0.5245164,0.4983851,0.4900233,0.5286039,0.5849792,04850181,74,D,56,D,1,1,D,01,D,2,D,14,D,13,D,1,D,1,D,2,D,1,D,0,D,59899,D,43789.250,0,D,3137,D,0,D,,A,0,D,,A,18690,D,0,D,41000,D,30,D,40,D,0,D,283,D,65,D,326,D,75,D,,A,1,,2,D,,A,11,D,,A,0,D,0,D,1,D,07,D,5,4,,2,D,4,D,2,1,D,2,,1,07,2021,1,D,2,D,1,D,2,,A,,A,,A,12,D,52,D,108380.913,,,,,124997.123,,,,130511.945,96168.971,,92816.992,,116184.339,121211.363,,,108594.892,,,95541.458,,106051.955,,,111769.802,124438.706,105948.827,,106554.339,107088.984,100442.040,120620.600,114842.463,,,,94177.034,,99253.687,123908.030,109769.294,,148.61000,132.34000,0.00000,0.78000,0.00000,0.00000,15.74000,0.00000,6.38000,0.00000,2.74000,0.00000,21.76000,19.77000,1.47000,2.84000,0.00000,4.79000,7.57000,48.50000,16.27000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,46,D,485018,,A,,A,0,D,61982.0,D,64453,58708,60505,64104,62140,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,18690.0,D,18690,18690,18690,18690,18690,100,0.0,D,0,0,0,0,0,100,43083.0,D,45554,39809,41606,45205,43241,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,209,D,209,209,209,209,209,100,209,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,D,A,A,4,3,2,2
0.4952003,0.4879971,0.4925624,0.5265080,0.4772651,0.5013557,0.5846515,04850182,74,D,56,D,1,1,D,01,D,2,D,14,D,13,D,1,D,1,D,2,D,1,D,0,D,59899,D,43789.250,0,D,3137,D,0,D,,A,0,D,,A,18690,D,0,D,41000,D,30,D,40,D,0,D,283,D,65,D,326,D,75,D,,A,1,,2,D,,A,11,D,,A,0,D,0,D,1,D,07,D,5,4,,2,D,4,D,2,1,D,2,,1,08,2021,1,D,2,D,2,D,2,,A,,A,,A,12,D,52,D,108380.913,,,,,124997.123,,,,130511.945,96168.971,,92816.992,,116184.339,121211.363,,,108594.892,,,95541.458,,106051.955,,,111769.802,124438.706,105948.827,,106554.339,107088.984,100442.040,120620.600,114842.463,,,,94177.034,,99253.687,123908.030,109769.294,,70.47000,54.20000,0.00000,5.18000,0.00000,0.00000,0.00000,0.00000,0.00000,1.82000,2.03000,4.13000,11.33000,2.39000,0.00000,1.27000,4.24000,0.00000,0.00000,21.81000,16.27000,0.00000,0.00000,0.00000,0.00000,0.00000,12.65000,0.00000,1,D,,A,0,D,46,D,485018,,A,,A,0,D,59670.2,D,59876,56802,65707,58760,57206,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,18690.0,D,18690,18690,18690,18690,18690,100,0.0,D,0,0,0,0,0,100,40771.2,D,40977,37903,46808,39861,38307,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,14,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,209,D,209,209,209,209,209,100,209,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,D,A,A,4,3,2,2
0.0306633,0.0386642,0.0326952,0.0365749,0.0353536,0.0369344,0.1519662,04850231,87,T,,A,1,4,D,01,D,8,D,13,D,,A,,A,,A,1,D,8,D,0,D,3240,D,45333.293,0,D,0,D,0,D,,A,0,D,12,D,0,D,816,D,0,D,,A,,A,2424,D,261,D,60,D,326,D,75,D,,A,3,,0,D,,A,,A,,A,0,D,0,D,1,D,,A,4,,A,1,D,1,D,1,2,D,,A,1,07,2021,,A,,A,1,D,2,,A,4,D,,A,0,D,,A,101035.025,82547.599,,64842.606,,106738.900,104240.766,,,91254.774,,,75805.955,,86836.707,,,98685.217,99925.276,99988.145,,103207.395,71962.019,79746.186,71232.954,76898.654,,,,75482.400,,86174.739,89166.423,77022.320,,,,,,96362.759,,,,87882.831,104.82000,104.82000,10.59000,4.27759,0.00000,0.00000,0.00000,23.45000,23.80000,3.75344,0.00000,0.00000,3.84785,6.28138,4.09507,0.00000,0.00000,3.89638,9.95333,10.87496,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,0,D,42,D,485023,4,D,,A,0,D,3240.0,D,3240,3240,3240,3240,3240,100,0.0,D,0,0,0,0,0,0,D,0,D,202.0,D,202,202,202,202,202,100,0.0,D,0,0,0,0,0,100,816.0,D,816,816,816,816,816,100,0.0,D,0,0,0,0,0,100,D,2424.0,D,2424,2424,2424,2424,2424,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,1,1,
0.0310026,0.0390035,0.0330346,0.0369142,0.0356929,0.0372737,0.1523055,04850232,87,T,,A,1,4,D,01,D,8,D,13,D,,A,,A,,A,1,D,8,D,0,D,3240,D,45333.293,0,D,0,D,0,D,,A,0,D,12,D,0,D,816,D,0,D,,A,,A,2424,D,261,D,60,D,326,D,75,D,,A,3,,0,D,,A,,A,,A,0,D,0,D,1,D,,A,4,,A,1,D,1,D,1,2,D,,A,1,07,2021,,A,,A,2,D,2,,A,4,D,,A,0,D,,A,101035.025,82547.599,,64842.606,,106738.900,104240.766,,,91254.774,,,75805.955,,86836.707,,,98685.217,99925.276,99988.145,,103207.395,71962.019,79746.186,71232.954,76898.654,,,,75482.400,,86174.739,89166.423,77022.320,,,,,,96362.759,,,,87882.831,105.60000,105.60000,0.00000,0.00000,44.16000,6.99000,0.00000,6.98000,17.98000,3.34000,0.00000,0.00000,6.39000,3.75000,1.99000,0.00000,0.00000,5.88000,0.00000,8.14000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32000,1,D,,A,0,D,42,D,485023,4,D,,A,0,D,3240.0,D,3240,3240,3240,3240,3240,100,0.0,D,0,0,0,0,0,0,D,0,D,202.0,D,202,202,202,202,202,100,0.0,D,0,0,0,0,0,100,816.0,D,816,816,816,816,816,100,0.0,D,0,0,0,0,0,100,D,2424.0,D,2424,2424,2424,2424,2424,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,2,1,1,
0.3750872,0.3899131,0.3800151,0.3824867,0.3793462,0.3863764,0.4869325,04850281,61,D,,A,1,1,D,01,D,4,D,16,D,,A,4,D,,A,2,D,9,D,0,D,43001,D,53810.324,2400,D,3290,D,0,D,,A,0,D,,A,0,D,0,D,43000,D,38,D,,A,0,D,174,D,40,D,435,D,100,D,,A,3,,2,D,,A,,A,,A,0,D,0,D,0,D,04,D,2,,A,2,D,1,D,2,2,D,,A,1,07,2021,1,D,1,D,1,D,2,,A,,A,,A,45,D,,A,,90254.441,,,106170.604,,108804.175,,,114971.843,94776.057,,140305.469,84356.518,,101192.897,,98768.230,109639.444,,,,100272.318,,,,,,97887.135,120323.449,110741.106,,98818.970,,,,109793.274,115808.522,123281.357,138016.611,100380.344,,139470.192,126444.258,128.00000,99.00000,0.00000,10.83380,0.00000,0.00000,13.01705,0.00000,6.49199,0.00000,3.69511,8.64633,0.00000,2.41432,4.96598,5.22384,10.08003,11.02705,0.00000,22.60450,29.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.15000,0.00000,1,D,,A,7,D,26,D,485028,,A,,A,0,D,43001.0,D,43001,43001,43001,43001,43001,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,43000.0,D,43000,43000,43000,43000,43000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S23B,16,0,D,0,0,0,0,0,100,0,,A,,A,1,D,1,1,1,1,1,100,1,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,3,3,2,
0.3746844,0.3895103,0.3796123,0.3820839,0.3789434,0.3859736,0.4865297,04850282,61,D,,A,1,1,D,01,D,4,D,16,D,,A,4,D,,A,2,D,9,D,0,D,43001,D,53810.324,2400,D,3290,D,0,D,,A,0,D,,A,0,D,0,D,43000,D,38,D,,A,0,D,174,D,40,D,435,D,100,D,,A,3,,2,D,,A,,A,,A,0,D,0,D,0,D,04,D,2,,A,2,D,1,D,2,2,D,,A,1,07,2021,1,D,1,D,2,D,2,,A,,A,,A,45,D,,A,,90254.441,,,106170.604,,108804.175,,,114971.843,94776.057,,140305.469,84356.518,,101192.897,,98768.230,109639.444,,,,100272.318,,,,,,97887.135,120323.449,110741.106,,98818.970,,,,109793.274,115808.522,123281.357,138016.611,100380.344,,139470.192,126444.258,220.48945,172.99999,0.00000,11.60414,16.53107,7.11545,7.71708,0.00000,7.65330,4.98847,7.11644,10.31926,13.72807,2.64599,6.08840,11.96911,11.04729,11.25015,10.39344,32.83233,47.48946,5.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.09054,1,D,,A,7,D,26,D,485028,,A,,A,0,D,43001.0,D,43001,43001,43001,43001,43001,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,43000.0,D,43000,43000,43000,43000,43000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S23B,16,0,D,0,0,0,0,0,100,0,,A,,A,1,D,1,1,1,1,1,100,1,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,3,3,2,
0.6024055,0.6074050,0.6064509,0.6004695,0.6033827,0.6078224,0.6692659,04850291,74,D,71,D,1,2,D,01,D,8,D,16,D,13,D,,A,,A,2,D,1,D,0,D,79844,D,23756.927,0,D,0,D,0,D,,A,0,D,,A,35964,D,0,D,0,D,,A,,A,0,D,565,D,130,D,652,D,150,D,,A,1,,0,D,,A,,A,25000,D,0,D,0,D,2,D,,A,3,1,,2,D,1,D,2,1,D,2,,1,07,2021,1,D,2,D,1,D,2,,A,1,D,1,D,0,D,0,D,,73815.815,75139.940,89138.789,52851.609,,57086.840,95630.709,74053.239,,,68237.962,,77640.079,,,99784.435,61388.869,,66978.857,67880.819,,70547.895,,106754.899,81520.939,,,,83905.087,,,,,,77650.803,95075.790,63979.562,,66425.999,,,,66358.635,124.31000,124.31000,0.00000,11.12000,0.00000,24.85000,0.00000,0.00000,0.00000,2.03000,5.88000,0.00000,10.30000,34.55000,6.34000,6.70000,0.00000,22.54000,0.00000,0.00000,0.00000,0.00000,25.00000,0.00000,4.22000,21.79000,9.20000,10.46000,1,D,,A,0,D,20,D,485029,,A,,A,0,D,79844.0,D,79844,79844,79844,79844,79844,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,35964.0,D,35964,35964,35964,35964,35964,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,25000.0,D,25000,25000,25000,25000,25000,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,80,D,80,80,80,80,80,100,80,,A,2000,D,,A,2000,2000,2000,2000,2000,100,2000,,A,,A,,A,,,,,,100,,,A,,A,16800,D,16800,16800,16800,16800,16800,100,16800,,A,,A,,A,,,,,,100,,D,D,D,A,D,A,4,3,2,2
0.6025833,0.6075829,0.6066287,0.6006473,0.6035605,0.6080002,0.6694437,04850292,74,D,71,D,1,2,D,01,D,8,D,16,D,13,D,,A,,A,2,D,1,D,0,D,79844,D,23756.927,0,D,0,D,0,D,,A,0,D,,A,35964,D,0,D,0,D,,A,,A,0,D,565,D,130,D,652,D,150,D,,A,1,,0,D,,A,,A,25000,D,0,D,0,D,2,D,,A,3,1,,2,D,1,D,2,1,D,2,,1,07,2021,1,D,2,D,2,D,2,,A,1,D,1,D,0,D,0,D,,73815.815,75139.940,89138.789,52851.609,,57086.840,95630.709,74053.239,,,68237.962,,77640.079,,,99784.435,61388.869,,66978.857,67880.819,,70547.895,,106754.899,81520.939,,,,83905.087,,,,,,77650.803,95075.790,63979.562,,66425.999,,,,66358.635,90.48000,90.48000,0.00000,4.32000,4.62000,28.77000,0.00000,0.00000,0.00000,0.00000,3.13000,2.08000,0.39000,0.00000,0.00000,1.98000,10.51000,17.89000,5.77000,11.02000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.64000,1,D,,A,0,D,20,D,485029,,A,,A,0,D,79844.0,D,79844,79844,79844,79844,79844,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,35964.0,D,35964,35964,35964,35964,35964,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,D,0.0,D,0,0,0,0,0,25000.0,D,25000,25000,25000,25000,25000,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,80,D,80,80,80,80,80,100,80,,A,2000,D,,A,2000,2000,2000,2000,2000,100,2000,,A,,A,,A,,,,,,100,,,A,,A,16800,D,16800,16800,16800,16800,16800,100,16800,,A,,A,,A,,,,,,100,,D,D,D,A,D,A,4,3,2,2
