INC_RNKM,INC_RNK5,INC_RNK4,INC_RNK3,INC_RNK2,INC_RNK1,INC_RANK,NEWID,AGE_REF,AGE_REF_,AGE2,AGE2_,BLS_URBN,CUTENURE,CUTE_URE,DESCRIP,DESCRIP_,EARNCOMP,EARN_OMP,EDUC_REF,EDUC0REF,EDUCA2,EDUCA2_,EMPLTYP1,EMPL_YP1,EMPLTYP2,EMPL_YP2,FAM_SIZE,FAM__IZE,FAM_TYPE,FAM__YPE,FGVX,FGVX_,FINCBEFX,FINC_EFX,FINLWT21,FIRAX,FIRAX_,FJSSDEDX,FJSS_EDX,FPVTX,FPVTX_,FREEMLX,FREEMLX_,FRRX,FRRX_,FS_MTHI,FS_MTHI_,FSS_RRX,FSS_RRX_,FSUPPX,FSUPPX_,FWAGEX,FWAGEX_,HRSPRWK1,HRSP_WK1,HRSPRWK2,HRSP_WK2,JFS_AMT,JFS_AMT_,JGRCFDMV,JGRC_DMV,JGRCFDWK,JGRC_DWK,JGROCYMV,JGRO_YMV,JGROCYWK,JGRO_YWK,LUMPX,LUMPX_,MARITAL1,MARI_AL1,NO_EARNR,NO_E_RNR,OCCEXPNX,OCCE_PNX,OCCULIS2,OCCU_IS2,OTHINX,OTHINX_,OTHRECX,OTHRECX_,PERSLT18,PERS_T18,PERSOT64,PERS_T64,OCCULIS1,OCCU_IS1,POPSIZE,RACE2,RACE2_,REC_FS,REC_FS_,REF_RACE,REF__ACE,REGION,SEX_REF,SEX_REF_,SEX2,SEX2_,SMSASTAT,STRTMNTH,STRTYEAR,TYPOWND,TYPOWND_,VEHQ,VEHQ_,WEEKI,WEEKI_,WEEKN,WELFRX,WELFRX_,WHYNWRK1,WHYN_RK1,WHYNWRK2,WHYN_RK2,WK_WRKD1,WK_W_KD1,WK_WRKD2,WK_W_KD2,WTREP01,WTREP02,WTREP03,WTREP04,WTREP05,WTREP06,WTREP07,WTREP08,WTREP09,WTREP10,WTREP11,WTREP12,WTREP13,WTREP14,WTREP15,WTREP16,WTREP17,WTREP18,WTREP19,WTREP20,WTREP21,WTREP22,WTREP23,WTREP24,WTREP25,WTREP26,WTREP27,WTREP28,WTREP29,WTREP30,WTREP31,WTREP32,WTREP33,WTREP34,WTREP35,WTREP36,WTREP37,WTREP38,WTREP39,WTREP40,WTREP41,WTREP42,WTREP43,WTREP44,FOODTOT,FOODHOME,CEREAL,BAKEPROD,BEEF,PORK,OTHMEAT,POULTRY,SEAFOOD,EGGS,MILKPROD,OTHDAIRY,FRSHFRUT,FRSHVEG,PROCFRUT,PROCVEG,SWEETS,NONALBEV,OILS,MISCFOOD,FOODAWAY,ALCBEV,SMOKSUPP,PET_FOOD,PERSPROD,PERSSERV,DRUGSUPP,HOUSKEEP,HH_CU_Q,HH_CU_Q_,HHID,HHID_,CHILDAGE,CHIL_AGE,STATE,INC__ANK,CUID,HORREF1,HORREF1_,HORREF2,HORREF2_,FGVXM,FGVXM_,FINCBEFM,FINC_EFM,FINCBEF1,FINCBEF2,FINCBEF3,FINCBEF4,FINCBEF5,FINCBEFI,FJSSDEDM,FJSS_EDM,FJSSDED1,FJSSDED2,FJSSDED3,FJSSDED4,FJSSDED5,FPVTXM,FPVTXM_,FRRXM,FRRXM_,FS_AMTXM,FS_A_TXM,FS_AMTX1,FS_AMTX2,FS_AMTX3,FS_AMTX4,FS_AMTX5,FS_AMTXI,FSS_RRXM,FSS__RXM,FSS_RRX1,FSS_RRX2,FSS_RRX3,FSS_RRX4,FSS_RRX5,FSS_RRXI,FSUPPXM,FSUPPXM_,FSUPPX1,FSUPPX2,FSUPPX3,FSUPPX4,FSUPPX5,FSUPPXI,FWAGEXM,FWAGEXM_,FWAGEX1,FWAGEX2,FWAGEX3,FWAGEX4,FWAGEX5,FWAGEXI,INC__NKM,JFS_AMTM,JFS__MTM,JFS_AMT1,JFS_AMT2,JFS_AMT3,JFS_AMT4,JFS_AMT5,OTHINXM,OTHINXM_,OTHINX1,OTHINX2,OTHINX3,OTHINX4,OTHINX5,OTHINXI,WELFRXM,WELFRXM_,WELFRX1,WELFRX2,WELFRX3,WELFRX4,WELFRX5,WELFRXI,PICKCODE,LUMPB,LUMPB_,LUMPBX,LUMPBX_,OTHINB,OTHINB_,OTHINBX,OTHINBX_,WELFRB,WELFRB_,WELFRBX,WELFRBX_,PSU,HIGH_EDU,FSMPFRMX,FSMP_RMX,FSMPFRX1,FSMPFRX2,FSMPFRX3,FSMPFRX4,FSMPFRX5,FSMPFRXI,FSMPFRXM,INTRDVB,INTRDVB_,INTRDVBX,INTR_VBX,INTRDVX,INTRDVX_,INTRDVX1,INTRDVX2,INTRDVX3,INTRDVX4,INTRDVX5,INTRDVXI,INTRDVXM,NETRENTB,NETR_NTB,NETRENTX,NETR_NTX,NETRNTBX,NETR_TBX,NETRENT1,NETRENT2,NETRENT3,NETRENT4,NETRENT5,NETRENTI,NETRENTM,OTHREGB,OTHREGB_,OTHREGBX,OTHR_GBX,OTHREGX,OTHREGX_,OTHREGX1,OTHREGX2,OTHREGX3,OTHREGX4,OTHREGX5,OTHREGXI,OTHREGXM,RETSRVBX,RETS_VBX,RETSURVB,RETS_RVB,RETSURVX,RETS_RVX,RETSURV1,RETSURV2,RETSURV3,RETSURV4,RETSURV5,RETSURVI,RETSURVM,ROYESTB,ROYESTB_,ROYESTBX,ROYE_TBX,ROYESTX,ROYESTX_,ROYESTX1,ROYESTX2,ROYESTX3,ROYESTX4,ROYESTX5,ROYESTXI,ROYESTXM,FSMP_RXM,INTR_VXM,NETR_NTM,OTHR_GXM,RETS_RVM,ROYE_TXM,DIVISION,REFGEN,URBAN,HISP_REF,HISP2
0.5273853,0.5303733,0.5372954,0.5309501,0.5318474,0.5266724,0.6124282,05125452,35,D,35,D,1,4,D,01,D,1,D,16,D,16,D,1,D,,A,4,D,3,D,0,D,71200,D,37791.008,0,D,5432,D,0,D,,A,0,D,,A,0,D,0,D,71000,D,40,D,,A,0,D,304,D,70,D,435,D,100,D,,A,1,,1,D,35,D,,A,,A,0,D,2,D,0,D,03,D,2,1,,2,D,4,D,2,1,D,2,,1,04,2022,,A,2,D,2,D,1,,A,,A,2,D,52,D,0,D,,92339.536,66879.364,90995.756,,,90233.089,,80788.054,,,103762.262,75456.055,,111118.486,84429.525,,81652.148,,87424.414,78140.713,,,,96993.661,,,,,,77380.724,90203.862,62684.273,,73328.223,,,,85654.034,76399.377,60166.902,71611.671,59023.451,,109.99000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,109.99000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,2,D,39,D,512545,,A,,A,0,D,71200.0,D,71200,71200,71200,71200,71200,100,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,71000.0,D,71000,71000,71000,71000,71000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,,16,0,D,0,0,0,0,0,100,0,,A,,A,200,D,200,200,200,200,200,100,200,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,3,5,1,2,2
0.4721382,0.4744815,0.4828776,0.4736872,0.4750684,0.4698754,0.5661489,05125501,44,D,45,D,1,1,D,01,D,2,D,15,D,15,D,1,D,3,D,4,D,3,D,0,D,61500,D,34609.780,400,D,7497,D,0,D,,A,0,D,,A,0,D,0,D,18000,D,55,D,40,D,0,D,413,D,95,D,544,D,125,D,,A,1,,2,D,40,D,02,D,,A,0,D,2,D,0,D,10,D,1,1,,2,D,1,D,3,1,D,2,,1,04,2022,1,D,2,D,1,D,2,,A,,A,,A,36,D,17,D,67537.309,90050.334,54716.701,76034.034,69736.726,,,,63025.626,,60639.032,82092.541,70842.281,,,,,,49689.090,,,,82906.223,71522.691,,71487.924,,64423.642,84486.862,,,84404.015,,,84333.975,,56142.984,,,84203.045,48652.872,55652.962,,99428.310,531.16000,449.52000,11.44000,19.36000,20.23000,12.55000,0.00000,40.46000,44.26000,7.36000,7.38000,22.82000,80.71000,67.87000,12.85000,0.00000,23.50000,23.65000,0.00000,55.08000,81.64000,23.76000,0.00000,39.49000,34.56000,0.00000,17.07721,83.75000,1,D,,A,4,D,48,D,512550,,A,,A,0,D,61500.0,D,61500,61500,61500,61500,61500,100,6885.0,D,6885,6885,6885,6885,6885,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,18000.0,D,18000,18000,18000,18000,18000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,15,40000,D,40000,40000,40000,40000,40000,100,40000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,3500,D,3500,3500,3500,3500,3500,100,3500,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,D,A,A,7,4,1,2,2
0.4718795,0.4742228,0.4826189,0.4734285,0.4748097,0.4696168,0.5658902,05125502,44,D,45,D,1,1,D,01,D,2,D,15,D,15,D,1,D,3,D,4,D,3,D,0,D,61500,D,34609.780,400,D,7497,D,0,D,,A,0,D,,A,0,D,0,D,18000,D,55,D,40,D,0,D,413,D,95,D,544,D,125,D,,A,1,,2,D,40,D,02,D,,A,0,D,2,D,0,D,10,D,1,1,,2,D,1,D,3,1,D,2,,1,04,2022,1,D,2,D,2,D,2,,A,,A,,A,36,D,17,D,67537.309,90050.334,54716.701,76034.034,69736.726,,,,63025.626,,60639.032,82092.541,70842.281,,,,,,49689.090,,,,82906.223,71522.691,,71487.924,,64423.642,84486.862,,,84404.015,,,84333.975,,56142.984,,,84203.045,48652.872,55652.962,,99428.310,379.48931,260.49000,3.84000,50.77000,0.00000,5.49000,0.00000,18.40000,27.94000,6.88000,5.68000,21.54000,21.93000,38.29000,0.00000,0.00000,7.49000,18.00000,7.00000,27.24000,118.99931,0.00000,76.03000,9.51000,0.00000,0.00000,28.35793,0.00000,1,D,,A,4,D,48,D,512550,,A,,A,0,D,61500.0,D,61500,61500,61500,61500,61500,100,6885.0,D,6885,6885,6885,6885,6885,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,18000.0,D,18000,18000,18000,18000,18000,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S37B,15,40000,D,40000,40000,40000,40000,40000,100,40000,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,3500,D,3500,3500,3500,3500,3500,100,3500,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,D,A,A,7,4,1,2,2
0.4337690,0.4335459,0.4403714,0.4384313,0.4418557,0.4327059,0.5315766,05125511,67,D,68,D,1,2,D,01,D,2,D,15,D,15,D,1,D,5,D,2,D,1,D,0,D,55027,D,30483.451,0,D,2394,D,0,D,,A,0,D,,A,9788,D,0,D,15100,D,32,D,5,D,0,D,217,D,50,D,217,D,50,D,1200,D,1,,2,D,36,D,03,D,,A,1200,D,0,D,2,D,02,D,1,1,,2,D,1,D,1,2,D,1,,1,04,2022,1,D,2,D,1,D,2,,A,,A,,A,2,D,26,D,61207.722,54303.525,,49581.496,70658.929,,,60194.188,,,60541.536,,56002.102,,,47661.435,77458.126,67255.939,,64934.077,61130.925,71534.390,71503.111,63798.859,,,,52596.052,,56152.932,57063.548,61603.826,,,,,,60129.672,,,,68516.326,61488.941,,94.00999,77.04999,0.00000,8.27452,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.47792,3.45745,3.31124,2.01298,4.80610,15.26857,0.00000,9.70456,0.00000,21.73665,16.96000,0.00000,0.00000,0.00000,9.00880,32.15628,0.00000,0.00000,1,D,,A,0,D,42,D,512551,,A,,A,0,D,55027.0,D,55027,55027,55027,55027,55027,100,2157.0,D,2157,2157,2157,2157,2157,0,D,0,D,,A,,,,,,100,9788.0,D,9788,9788,9788,9788,9788,100,0.0,D,0,0,0,0,0,100,15100.0,D,15100,15100,15100,15100,15100,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12B,15,8100,D,8100,8100,8100,8100,8100,100,8100,,A,,A,800,D,800,800,800,800,800,100,800,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,21239,D,21239,21239,21239,21239,21239,100,21239,,A,,A,,A,,,,,,100,,D,D,A,A,D,A,2,3,1,2,2
0.4339968,0.4337737,0.4405993,0.4386591,0.4420836,0.4329338,0.5318044,05125512,67,D,68,D,1,2,D,01,D,2,D,15,D,15,D,1,D,5,D,2,D,1,D,0,D,55027,D,30483.451,0,D,2394,D,0,D,,A,0,D,,A,9788,D,0,D,15100,D,32,D,5,D,0,D,217,D,50,D,217,D,50,D,1200,D,1,,2,D,36,D,03,D,,A,1200,D,0,D,2,D,02,D,1,1,,2,D,1,D,1,2,D,1,,1,04,2022,1,D,2,D,2,D,2,,A,,A,,A,2,D,26,D,61207.722,54303.525,,49581.496,70658.929,,,60194.188,,,60541.536,,56002.102,,,47661.435,77458.126,67255.939,,64934.077,61130.925,71534.390,71503.111,63798.859,,,,52596.052,,56152.932,57063.548,61603.826,,,,,,60129.672,,,,68516.326,61488.941,,174.92998,174.92998,0.00000,0.00000,0.00000,0.00000,5.65618,0.00000,0.00000,0.00000,5.25464,12.76969,0.00000,4.34031,0.00000,15.12491,76.55438,21.70037,0.00000,33.52950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,24.99000,33.43551,1,D,,A,0,D,42,D,512551,,A,,A,0,D,55027.0,D,55027,55027,55027,55027,55027,100,2157.0,D,2157,2157,2157,2157,2157,0,D,0,D,,A,,,,,,100,9788.0,D,9788,9788,9788,9788,9788,100,0.0,D,0,0,0,0,0,100,15100.0,D,15100,15100,15100,15100,15100,100,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S12B,15,8100,D,8100,8100,8100,8100,8100,100,8100,,A,,A,800,D,800,800,800,800,800,100,800,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,21239,D,21239,21239,21239,21239,21239,100,21239,,A,,A,,A,,,,,,100,,D,D,A,A,D,A,2,3,1,2,2
0.4473552,0.4447384,0.4595413,0.4397084,0.4624097,0.4538025,0.5451352,05125531,62,D,,A,1,2,D,01,D,4,D,15,D,,A,1,D,,A,2,D,9,D,0,D,57200,D,39157.400,0,D,4361,D,0,D,,A,0,D,,A,0,D,0,D,57000,D,40,D,,A,0,D,783,D,180,D,1087,D,250,D,,A,3,,2,D,,A,,A,,A,0,D,0,D,0,D,03,D,2,,A,2,D,1,D,1,2,D,,A,1,05,2022,1,D,1,D,1,D,2,,A,,A,,A,6,D,,A,,80280.520,,88413.604,72235.662,,94524.834,,98421.154,82903.194,,,,81561.359,,,,,,94386.383,77207.538,85481.943,,95746.757,,,,82570.615,74307.219,78369.610,66431.259,83693.982,,90728.443,84191.354,89067.319,,,93416.085,,100441.545,,,93974.906,308.76002,207.32002,0.00000,29.25358,9.95832,17.44196,0.00000,0.00000,18.06291,5.88549,4.42216,23.24949,9.39040,11.68961,0.00000,5.18716,9.07652,17.03590,14.21413,32.45239,101.44000,0.00000,0.00000,114.31000,0.00000,0.00000,0.00000,0.00000,1,D,,A,7,D,25,D,512553,,A,,A,0,D,57688.8,D,59289,59399,55239,58403,56114,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,57488.8,D,59089,59199,55039,58203,55914,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S11A,15,0,D,0,0,0,0,0,100,0,,A,,A,200,D,200,200,200,200,200,100,200,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,1,3,1,2,
0.4433003,0.4461788,0.4421261,0.4490767,0.4510685,0.4516420,0.5448425,05125532,62,D,,A,1,2,D,01,D,4,D,15,D,,A,1,D,,A,2,D,9,D,0,D,57200,D,39157.400,0,D,4361,D,0,D,,A,0,D,,A,0,D,0,D,57000,D,40,D,,A,0,D,783,D,180,D,1087,D,250,D,,A,3,,2,D,,A,,A,,A,0,D,0,D,0,D,03,D,2,,A,2,D,1,D,1,2,D,,A,1,05,2022,1,D,1,D,2,D,2,,A,,A,,A,6,D,,A,,80280.520,,88413.604,72235.662,,94524.834,,98421.154,82903.194,,,,81561.359,,,,,,94386.383,77207.538,85481.943,,95746.757,,,,82570.615,74307.219,78369.610,66431.259,83693.982,,90728.443,84191.354,89067.319,,,93416.085,,100441.545,,,93974.906,230.57001,209.63001,4.78598,14.16947,0.00000,6.03020,13.10609,5.49979,0.00000,4.37240,8.25634,3.16227,15.43171,7.50011,4.39579,16.42693,3.63053,75.74009,0.00000,27.12231,20.94000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1,D,,A,7,D,25,D,512553,,A,,A,0,D,56799.4,D,58264,56948,56849,55418,56518,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,56599.4,D,58064,56748,56649,55218,56318,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S11A,15,0,D,0,0,0,0,0,100,0,,A,,A,200,D,200,200,200,200,200,100,200,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,D,A,A,A,A,1,3,1,2,
0.4571917,0.4796397,0.4753851,0.4678154,0.4499782,0.4424932,0.5394279,05125601,66,D,60,D,1,4,D,01,D,5,D,13,D,12,D,,A,1,D,2,D,1,D,0,D,56249,D,12773.003,0,D,3290,D,0,D,,A,0,D,,A,13249,D,0,D,43000,D,,A,30,D,0,D,435,D,100,D,435,D,100,D,,A,1,,1,D,,A,10,D,,A,0,D,0,D,1,D,,A,3,1,,2,D,1,D,4,2,D,1,,1,05,2022,,A,2,D,1,D,2,,A,1,D,,A,0,D,50,D,,,27279.274,,23347.046,23323.499,,,,28315.027,,,,,,26151.002,24884.678,20121.100,,20687.241,,,,23565.108,27337.475,25802.175,30288.633,23212.359,,26665.763,22404.047,27434.281,,,21201.562,,26105.415,,,26389.656,22742.557,,21852.845,22615.855,478.29378,467.71000,5.94299,0.00000,147.64000,0.00000,0.00000,21.83753,43.06000,16.10000,0.00000,0.00000,17.78000,11.21876,10.02531,12.54000,31.38000,105.63000,0.00000,44.55541,10.58378,131.81000,0.00000,0.00000,0.00000,0.00000,0.00000,62.54000,1,D,,A,0,D,15,D,512560,3,D,,A,0,D,59418.8,D,56767,56609,60514,60349,62855,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,13249.0,D,13249,13249,13249,13249,13249,100,0.0,D,0,0,0,0,0,100,46169.8,D,43518,43360,47265,47100,49606,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49F,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,3,1,1,2
0.4570963,0.4366786,0.4637039,0.4789939,0.4614315,0.4687370,0.5393324,05125602,66,D,60,D,1,4,D,01,D,5,D,13,D,12,D,,A,1,D,2,D,1,D,0,D,56249,D,12773.003,0,D,3290,D,0,D,,A,0,D,,A,13249,D,0,D,43000,D,,A,30,D,0,D,435,D,100,D,435,D,100,D,,A,1,,1,D,,A,10,D,,A,0,D,0,D,1,D,,A,3,1,,2,D,1,D,4,2,D,1,,1,05,2022,,A,2,D,2,D,2,,A,1,D,,A,0,D,50,D,,,27279.274,,23347.046,23323.499,,,,28315.027,,,,,,26151.002,24884.678,20121.100,,20687.241,,,,23565.108,27337.475,25802.175,30288.633,23212.359,,26665.763,22404.047,27434.281,,,21201.562,,26105.415,,,26389.656,22742.557,,21852.845,22615.855,88.30000,88.30000,0.00000,7.72000,0.00000,11.32000,7.72000,13.98000,0.00000,8.98000,0.00000,0.00000,3.28000,14.26000,9.08000,1.34000,0.00000,0.00000,6.02000,4.60000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,16.24000,1,D,,A,0,D,15,D,512560,3,D,,A,0,D,59402.2,D,61199,58764,62586,59000,55462,301,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,13249.0,D,13249,13249,13249,13249,13249,100,0.0,D,0,0,0,0,0,100,46153.2,D,47950,45515,49337,45751,42213,301,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,201,,A,,A,,A,,A,,A,,A,S49F,13,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,9,3,1,1,2
0.1655588,0.2121944,0.2926535,0.0364325,0.0252622,0.3389121,0.0056079,05125611,45,D,,A,1,4,D,,B,1,D,15,D,,A,1,D,,A,1,D,8,D,0,D,0,D,55537.755,0,D,0,D,0,D,,A,0,D,,A,0,D,0,D,0,D,40,D,,A,0,D,0,D,0,D,0,D,0,D,,A,5,,1,D,,A,,A,,A,0,D,0,D,0,D,11,D,2,,A,2,D,1,D,3,2,D,,A,1,05,2022,,A,,A,1,D,2,,A,,A,,A,52,D,,A,,103004.677,,,,113911.984,113984.710,119749.821,101618.992,119881.412,,103717.781,130347.292,104148.800,,,99363.883,,98008.452,,,98682.483,117970.238,,102313.267,121854.854,,94152.796,,95101.594,118406.908,,,,91370.483,,,,,,113422.322,119764.325,86438.379,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2,D,1,D,0,D,37,A,512561,,A,,A,0,D,23239.4,D,42105,4370,6744,35478,27500,201,0.0,D,0,0,0,0,0,0,D,0,D,,A,,,,,,100,0.0,D,0,0,0,0,0,100,0.0,D,0,0,0,0,0,100,23239.4,D,42105,4370,6744,35478,27500,201,D,0.0,D,0,0,0,0,0,,A,,,,,,100,,A,,,,,,100,217,,A,,A,,A,,A,,A,,A,,15,0,D,0,0,0,0,0,100,0,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,,A,,A,,A,,,,,,100,,D,A,A,A,A,A,5,4,1,2,
